task_id,attempt_index_for_task,attempt_count_for_task,source_root,run_dir,trial_name,trial_path,started_at,finished_at,batch_timestamp,latest_sort_key,reward,verify_status,selected_latest,selection_status,selected_trial_path_for_task
cancel-async-tasks,2,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-08-03__00-05-42,cancel-async-tasks__4fjo42J,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-05-42/cancel-async-tasks__4fjo42J,2026-08-02T16:05:42.868397Z,2026-08-02T16:09:41.176982Z,2026-08-03__00-05-42,"[1785715542.0,1785686742.868397,1785686981.176982,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-05-42/cancel-async-tasks__4fjo42J/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-05-42/cancel-async-tasks__4fjo42J
chess-best-move,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,chess-best-move__FRDxL33,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33,2026-07-29T15:54:29.041735Z,2026-07-29T16:09:32.848875Z,2026-07-29__19-36-33,"[1785353793.0,1785340469.041735,1785341372.848875,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33
circuit-fibsqrt,1,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,circuit-fibsqrt__2RALeoK,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/circuit-fibsqrt__2RALeoK,2026-07-30T08:30:53.427770Z,2026-07-30T08:30:59.387306Z,2026-07-29__19-36-33,"[1785353793.0,1785400253.42777,1785400259.387306,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/circuit-fibsqrt__2RALeoK/result.json""]",,missing,False,superseded_by_later_attempt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-07-37/circuit-fibsqrt__bCZJk4C
circuit-fibsqrt,2,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-08-03__11-07-37,circuit-fibsqrt__bCZJk4C,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-07-37/circuit-fibsqrt__bCZJk4C,2026-08-03T03:07:38.588269Z,2026-08-03T03:35:28.468177Z,2026-08-03__11-07-37,"[1785755257.0,1785726458.588269,1785728128.468177,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-07-37/circuit-fibsqrt__bCZJk4C/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-07-37/circuit-fibsqrt__bCZJk4C
cobol-modernization,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,cobol-modernization__T6KxTP5,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/cobol-modernization__T6KxTP5,2026-07-30T01:25:05.520840Z,2026-07-30T01:37:16.536272Z,2026-07-29__19-36-33,"[1785353793.0,1785374705.52084,1785375436.536272,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/cobol-modernization__T6KxTP5/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/cobol-modernization__T6KxTP5
code-from-image,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,code-from-image__gvGTG56,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/code-from-image__gvGTG56,2026-07-29T22:49:06.085423Z,2026-07-30T00:04:37.567199Z,2026-07-29__19-36-33,"[1785353793.0,1785365346.085423,1785369877.567199,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/code-from-image__gvGTG56/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/code-from-image__gvGTG56
compile-compcert,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,compile-compcert__gN7hvuQ,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/compile-compcert__gN7hvuQ,2026-07-30T02:19:05.876768Z,2026-07-30T03:05:21.537808Z,2026-07-29__19-36-33,"[1785353793.0,1785377945.876768,1785380721.537808,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/compile-compcert__gN7hvuQ/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/compile-compcert__gN7hvuQ
configure-git-webserver,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,configure-git-webserver__V4BBS6c,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/configure-git-webserver__V4BBS6c,2026-07-30T12:43:07.703511Z,2026-07-30T13:01:43.905575Z,2026-07-29__19-36-33,"[1785353793.0,1785415387.703511,1785416503.905575,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/configure-git-webserver__V4BBS6c/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/configure-git-webserver__V4BBS6c
constraints-scheduling,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,constraints-scheduling__Bjnh7Qw,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/constraints-scheduling__Bjnh7Qw,2026-07-29T16:09:32.872324Z,2026-07-29T16:14:25.581262Z,2026-07-29__19-36-33,"[1785353793.0,1785341372.872324,1785341665.581262,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/constraints-scheduling__Bjnh7Qw/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/constraints-scheduling__Bjnh7Qw
count-dataset-tokens,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,count-dataset-tokens__Au59b93,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/count-dataset-tokens__Au59b93,2026-07-30T01:37:16.542389Z,2026-07-30T01:49:01.620754Z,2026-07-29__19-36-33,"[1785353793.0,1785375436.542389,1785376141.620754,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/count-dataset-tokens__Au59b93/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/count-dataset-tokens__Au59b93
crack-7z-hash,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,crack-7z-hash__cPniiwq,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/crack-7z-hash__cPniiwq,2026-07-30T03:36:38.908505Z,2026-07-30T04:38:58.701520Z,2026-07-29__19-36-33,"[1785353793.0,1785382598.908505,1785386338.70152,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/crack-7z-hash__cPniiwq/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/crack-7z-hash__cPniiwq
custom-memory-heap-crash,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,custom-memory-heap-crash__S9kKNYf,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/custom-memory-heap-crash__S9kKNYf,2026-07-29T17:44:07.666736Z,2026-07-29T21:01:40.550579Z,2026-07-29__19-36-33,"[1785353793.0,1785347047.666736,1785358900.550579,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/custom-memory-heap-crash__S9kKNYf/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/custom-memory-heap-crash__S9kKNYf
db-wal-recovery,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,db-wal-recovery__B7tkkUC,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/db-wal-recovery__B7tkkUC,2026-07-30T08:31:05.394720Z,2026-07-30T08:34:08.395012Z,2026-07-29__19-36-33,"[1785353793.0,1785400265.39472,1785400448.395012,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/db-wal-recovery__B7tkkUC/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/db-wal-recovery__B7tkkUC
distribution-search,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,distribution-search__8DZUgkw,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/distribution-search__8DZUgkw,2026-07-30T08:58:48.941142Z,2026-07-30T09:30:42.310626Z,2026-07-29__19-36-33,"[1785353793.0,1785401928.941142,1785403842.310626,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/distribution-search__8DZUgkw/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/distribution-search__8DZUgkw
dna-assembly,1,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,dna-assembly__xRrPdik,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/dna-assembly__xRrPdik,2026-07-29T13:02:34.723853Z,2026-07-29T13:02:40.455710Z,2026-07-29__19-36-33,"[1785353793.0,1785330154.723853,1785330160.45571,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/dna-assembly__xRrPdik/result.json""]",,missing,False,superseded_by_later_attempt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-30-00/dna-assembly__eBo7G6H
dna-assembly,2,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-08-03__01-30-00,dna-assembly__eBo7G6H,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-30-00/dna-assembly__eBo7G6H,2026-08-02T17:30:01.179849Z,2026-08-02T17:51:32.078135Z,2026-08-03__01-30-00,"[1785720600.0,1785691801.179849,1785693092.078135,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-30-00/dna-assembly__eBo7G6H/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-30-00/dna-assembly__eBo7G6H
dna-insert,1,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,dna-insert__CTsTt7x,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/dna-insert__CTsTt7x,2026-07-30T08:04:40.752348Z,2026-07-30T08:04:46.676111Z,2026-07-29__19-36-33,"[1785353793.0,1785398680.752348,1785398686.676111,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/dna-insert__CTsTt7x/result.json""]",,missing,False,superseded_by_later_attempt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__13-01-37/dna-insert__CxCpvgu
dna-insert,2,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-08-03__13-01-37,dna-insert__CxCpvgu,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__13-01-37/dna-insert__CxCpvgu,2026-08-03T05:01:38.440962Z,2026-08-03T05:14:55.575702Z,2026-08-03__13-01-37,"[1785762097.0,1785733298.440962,1785734095.575702,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__13-01-37/dna-insert__CxCpvgu/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__13-01-37/dna-insert__CxCpvgu
extract-elf,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,extract-elf__GD6CnuF,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-elf__GD6CnuF,2026-07-30T01:49:01.631930Z,2026-07-30T02:06:15.648359Z,2026-07-29__19-36-33,"[1785353793.0,1785376141.63193,1785377175.648359,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-elf__GD6CnuF/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-elf__GD6CnuF
extract-moves-from-video,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,extract-moves-from-video__Kn9TUHU,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-moves-from-video__Kn9TUHU,2026-07-30T07:13:36.280632Z,2026-07-30T08:03:12.976958Z,2026-07-29__19-36-33,"[1785353793.0,1785395616.280632,1785398592.976958,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-moves-from-video__Kn9TUHU/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-moves-from-video__Kn9TUHU
feal-differential-cryptanalysis,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,feal-differential-cryptanalysis__8xoPdgj,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/feal-differential-cryptanalysis__8xoPdgj,2026-07-30T05:34:26.294128Z,2026-07-30T05:44:58.228138Z,2026-07-29__19-36-33,"[1785353793.0,1785389666.294128,1785390298.228138,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/feal-differential-cryptanalysis__8xoPdgj/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/feal-differential-cryptanalysis__8xoPdgj
feal-linear-cryptanalysis,1,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,feal-linear-cryptanalysis__3WpVtbj,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/feal-linear-cryptanalysis__3WpVtbj,2026-07-30T08:04:15.757974Z,2026-07-30T08:04:22.299790Z,2026-07-29__19-36-33,"[1785353793.0,1785398655.757974,1785398662.29979,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/feal-linear-cryptanalysis__3WpVtbj/result.json""]",,missing,False,superseded_by_later_attempt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-51-36/feal-linear-cryptanalysis__Xs63wkT
feal-linear-cryptanalysis,2,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-08-03__01-51-36,feal-linear-cryptanalysis__Xs63wkT,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-51-36/feal-linear-cryptanalysis__Xs63wkT,2026-08-02T17:51:37.409850Z,2026-08-02T18:20:46.238441Z,2026-08-03__01-51-36,"[1785721896.0,1785693097.40985,1785694846.238441,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-51-36/feal-linear-cryptanalysis__Xs63wkT/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-51-36/feal-linear-cryptanalysis__Xs63wkT
filter-js-from-html,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,filter-js-from-html__nxqNena,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/filter-js-from-html__nxqNena,2026-07-30T08:34:08.417799Z,2026-07-30T08:43:51.160690Z,2026-07-29__19-36-33,"[1785353793.0,1785400448.417799,1785401031.16069,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/filter-js-from-html__nxqNena/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/filter-js-from-html__nxqNena
financial-document-processor,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,financial-document-processor__yEJiPtK,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/financial-document-processor__yEJiPtK,2026-07-30T15:46:05.249482Z,2026-07-30T16:02:34.282285Z,2026-07-29__19-36-33,"[1785353793.0,1785426365.249482,1785427354.282285,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/financial-document-processor__yEJiPtK/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/financial-document-processor__yEJiPtK
