position,task_id,system,verify_status,run_validity,terminal_status,failure_category,run_id,source,agent_seconds,claim_done_seen,e2e_seconds,evaluator_seconds,finished_at,internal_nonstream_requests,internal_nonstream_requests_completed,internal_nonstream_token_input,internal_nonstream_token_output,internal_nonstream_token_total,internal_nonstream_usage_reported_completed,model_request_limit,model_request_limit_exceeded,model_requests_completed,model_requests_failed,model_requests_started,non_stream_requests,normal_e2e_success,orchestration_seconds,retained_requests_completed_excluding_internal_nonstream,retained_requests_excluding_internal_nonstream,retained_usage_missing_completed_excluding_internal_nonstream,retained_usage_reported_completed_excluding_internal_nonstream,run_directory,started_at,started_only_tool_calls,stream_requests,supplements_run_id,timeout,timeout_scope,token_excluding_internal_nonstream_input,token_excluding_internal_nonstream_note,token_excluding_internal_nonstream_output,token_excluding_internal_nonstream_reliable,token_excluding_internal_nonstream_total,token_input,token_note,token_output,token_reliable,token_total,token_usage_missing_completed,token_usage_reported_completed,tool_calls,tool_failures
6,notion-movies,astra,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-06-notion-movies-astra-a1,m2_qualification,159.78675059601665,True,219.527328,39.30559015000472,2026-08-07T06:34:02.206159+00:00,8,8,10328,9917,20245,8,100,False,16,0,16,8,False,20.434987253978647,8,8,0,8,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/notion-movies/m2-20260807T033446Z-06-notion-movies-astra-a1,2026-08-07T06:30:22.678831+00:00,0,8,,False,none,302771,all_retained_completed_responses_reported,4303,True,307074,313099,all_completed_responses_reported,14220,True,327319,0,16,10,0
6,notion-movies,hermes,pass,valid,completed,none,m2-20260807T033446Z-06-notion-movies-hermes-a1,m2_qualification,119.68807556899264,False,192.898189,11.445393736998085,2026-08-07T06:29:40.593814+00:00,0,0,,,,0,100,False,14,1,14,0,True,61.76471969400927,14,14,1,13,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/notion-movies/m2-20260807T033446Z-06-notion-movies-hermes-a1,2026-08-07T06:26:27.695625+00:00,0,14,,False,none,703553,partial_or_missing_retained_provider_usage,8952,False,712505,703553,partial_or_missing_provider_usage,8952,False,712505,1,13,19,0
7,price-comparison,astra,pass,valid,completed,none,m2-20260807T033446Z-07-price-comparison-astra-a1,m2_qualification,173.13088773199706,True,207.015604,13.270153831021162,2026-08-07T06:38:06.299642+00:00,9,9,11331,10263,21594,9,100,False,18,0,18,9,True,20.61456243698177,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/price-comparison/m2-20260807T033446Z-07-price-comparison-astra-a1,2026-08-07T06:34:39.284038+00:00,0,9,,False,none,212543,all_retained_completed_responses_reported,4654,True,217197,223874,all_completed_responses_reported,14917,True,238791,0,18,11,0
7,price-comparison,hermes,pass,valid,completed,none,m2-20260807T033446Z-07-price-comparison-hermes-a1,m2_qualification,66.85911377001321,False,102.757531,13.45076946800691,2026-08-07T06:40:24.903501+00:00,0,0,,,,0,100,False,9,0,9,0,True,22.44764776197988,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/price-comparison/m2-20260807T033446Z-07-price-comparison-hermes-a1,2026-08-07T06:38:42.145970+00:00,0,9,,False,none,252632,all_retained_completed_responses_reported,3075,True,255707,252632,all_completed_responses_reported,3075,True,255707,0,9,12,0
8,quantitative-financial-analysis,astra,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-08-quantitative-financial-analysis-astra-a1,m2_qualification,249.805767421989,True,461.634053,180.13114454000606,2026-08-07T06:56:46.768445+00:00,10,10,12572,7428,20000,10,100,False,19,0,19,10,False,31.69714103800493,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/quantitative-financial-analysis/m2-20260807T033446Z-08-quantitative-financial-analysis-astra-a1,2026-08-07T06:49:05.134392+00:00,0,9,,False,none,393686,all_retained_completed_responses_reported,22189,True,415875,406258,all_completed_responses_reported,29617,True,435875,0,19,16,0
8,quantitative-financial-analysis,hermes,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-08-quantitative-financial-analysis-hermes-a1,m2_qualification,201.4652431329887,False,414.046834,190.73970114102121,2026-08-07T06:48:11.973352+00:00,0,0,,,,0,100,False,9,0,9,0,False,21.841889725990086,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/quantitative-financial-analysis/m2-20260807T033446Z-08-quantitative-financial-analysis-hermes-a1,2026-08-07T06:41:17.926518+00:00,0,9,,False,none,510540,all_retained_completed_responses_reported,21536,True,532076,510540,all_completed_responses_reported,21536,True,532076,0,9,18,0
9,excel-data-transformation,astra,pass,valid,completed,none,m2-20260807T033446Z-09-excel-data-transformation-astra-a1,m2_qualification,145.2421274659864,False,170.209305,4.36632202801411,2026-08-07T07:00:03.417267+00:00,7,7,8701,3995,12696,7,100,False,14,0,14,7,True,20.600855505999476,7,7,0,7,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/excel-data-transformation/m2-20260807T033446Z-09-excel-data-transformation-astra-a1,2026-08-07T06:57:13.207962+00:00,0,7,,False,none,209412,all_retained_completed_responses_reported,10137,True,219549,218113,all_completed_responses_reported,14132,True,232245,0,14,10,0
9,excel-data-transformation,hermes,pass,valid,completed,none,m2-20260807T033446Z-09-excel-data-transformation-hermes-a1,m2_qualification,198.16823613099405,True,294.2248,4.5756554340186995,2026-08-07T07:05:20.458522+00:00,0,0,,,,0,100,False,17,1,17,0,True,91.48090843498727,17,17,1,16,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/excel-data-transformation/m2-20260807T033446Z-09-excel-data-transformation-hermes-a1,2026-08-07T07:00:26.233722+00:00,0,17,,False,none,835486,partial_or_missing_retained_provider_usage,26153,False,861639,835486,partial_or_missing_provider_usage,26153,False,861639,1,16,16,0
10,notion-hr,astra,pass,valid,completed,none,m2-20260807T033446Z-10-notion-hr-astra-a1,m2_qualification,1795.3698732040066,True,1834.394784,9.460667620005552,2026-08-07T07:42:53.511726+00:00,43,43,204044,132542,336586,43,100,False,71,0,71,43,True,29.56424317598794,28,28,0,28,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/notion-hr/m2-20260807T033446Z-10-notion-hr-astra-a1,2026-08-07T07:12:19.116942+00:00,0,28,,False,none,2600559,all_retained_completed_responses_reported,53364,True,2653923,2804603,all_completed_responses_reported,185906,True,2990509,0,71,57,0
10,notion-hr,hermes,pass,valid,completed,none,m2-20260807T033446Z-10-notion-hr-hermes-a1,m2_qualification,212.23136887900182,False,329.784228,9.469226157001685,2026-08-07T07:11:35.254905+00:00,0,0,,,,0,100,False,16,0,16,0,True,108.08363296399648,16,16,0,16,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/notion-hr/m2-20260807T033446Z-10-notion-hr-hermes-a1,2026-08-07T07:06:05.470677+00:00,0,16,,False,none,1208705,all_retained_completed_responses_reported,17872,True,1226577,1208705,all_completed_responses_reported,17872,True,1226577,0,16,39,0
11,shopping-helper,astra,no_pass,valid,max_steps,model_request_budget,m2-20260807T033446Z-11-shopping-helper-astra-a1,m2_qualification,1284.0423472099937,False,1310.075513,11.829440995992627,2026-08-07T08:05:11.532726+00:00,59,59,213755,92861,306616,59,100,True,100,0,100,59,False,14.203724794013624,41,41,0,41,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/shopping-helper/m2-20260807T033446Z-11-shopping-helper-astra-a1,2026-08-07T07:43:21.457213+00:00,0,41,,False,none,2210330,all_retained_completed_responses_reported,19739,True,2230069,2424085,all_completed_responses_reported,112600,True,2536685,0,100,44,0
11,shopping-helper,hermes,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-11-shopping-helper-hermes-a2,m2_qualification,398.1429414949962,True,655.558348,158.110021141998,2026-08-07T08:51:38.591481+00:00,0,0,,,,0,100,False,52,0,52,0,False,99.30538536300583,52,52,0,52,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/shopping-helper/m2-20260807T033446Z-11-shopping-helper-hermes-a2,2026-08-07T08:40:43.033133+00:00,0,52,,False,none,3408101,all_retained_completed_responses_reported,14931,True,3423032,3408101,all_completed_responses_reported,14931,True,3423032,0,52,49,0
12,woocommerce-stock-alert,astra,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-12-woocommerce-stock-alert-astra-a1,m2_qualification,547.2276020509889,True,599.961385,19.33846498897765,2026-08-07T09:07:54.444636+00:00,16,16,19751,25659,45410,16,100,False,31,0,31,16,False,33.39531796003337,15,15,0,15,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/woocommerce-stock-alert/m2-20260807T033446Z-12-woocommerce-stock-alert-astra-a1,2026-08-07T08:57:54.483251+00:00,0,15,,False,none,798927,all_retained_completed_responses_reported,29249,True,828176,818678,all_completed_responses_reported,54908,True,873586,0,31,25,0
12,woocommerce-stock-alert,hermes,pass,valid,completed,none,m2-20260807T033446Z-12-woocommerce-stock-alert-hermes-a1,m2_qualification,125.35080066201044,True,228.125396,7.900762913021026,2026-08-07T08:56:44.740222+00:00,0,0,,,,0,100,False,14,0,14,0,True,94.87383242496853,14,14,0,14,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/woocommerce-stock-alert/m2-20260807T033446Z-12-woocommerce-stock-alert-hermes-a1,2026-08-07T08:52:56.614826+00:00,0,14,,False,none,882279,all_retained_completed_responses_reported,13160,True,895439,882279,all_completed_responses_reported,13160,True,895439,0,14,20,0
13,git-bug-hunt,astra,pass,valid,completed,none,m2-20260807T033446Z-13-git-bug-hunt-astra-a1,m2_qualification,740.4159623049782,True,766.345229,4.598482861008961,2026-08-07T09:21:10.791862+00:00,19,19,23598,44723,68321,19,100,False,38,0,38,19,True,21.33078383401289,19,19,0,19,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/git-bug-hunt/m2-20260807T033446Z-13-git-bug-hunt-astra-a1,2026-08-07T09:08:24.446633+00:00,0,19,,False,none,762487,all_retained_completed_responses_reported,31239,True,793726,786085,all_completed_responses_reported,75962,True,862047,0,38,30,0
13,git-bug-hunt,hermes,pass,valid,completed,none,m2-20260807T033446Z-13-git-bug-hunt-hermes-a1,m2_qualification,68.12786239298293,False,95.332258,4.330554221989587,2026-08-07T09:40:45.953466+00:00,0,0,,,,0,100,False,8,0,8,0,True,22.873841385027475,8,8,0,8,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/git-bug-hunt/m2-20260807T033446Z-13-git-bug-hunt-hermes-a1,2026-08-07T09:39:10.621208+00:00,0,8,,False,none,307968,all_retained_completed_responses_reported,2882,True,310850,307968,all_completed_responses_reported,2882,True,310850,0,8,12,0
14,k8s-safety-audit,astra,pass,valid,completed,none,m2-20260807T033446Z-14-k8s-safety-audit-astra-a1,m2_qualification,666.7192952029873,True,730.64592,20.970521576004103,2026-08-07T10:31:02.237600+00:00,21,21,30896,32408,63304,21,100,False,40,0,40,21,True,42.956103221008675,19,19,0,19,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/k8s-safety-audit/m2-20260807T033446Z-14-k8s-safety-audit-astra-a1,2026-08-07T10:18:51.591680+00:00,0,19,,False,none,846638,all_retained_completed_responses_reported,29879,True,876517,877534,all_completed_responses_reported,62287,True,939821,0,40,32,2
14,k8s-safety-audit,hermes,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-14-k8s-safety-audit-hermes-a1,m2_qualification,578.4770586270024,False,752.876688,31.292647435009712,2026-08-07T09:55:28.715922+00:00,6,6,3077,1274,4351,6,100,False,41,1,41,6,False,143.10698193798783,35,35,1,34,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/k8s-safety-audit/m2-20260807T033446Z-14-k8s-safety-audit-hermes-a1,2026-08-07T09:42:55.839234+00:00,0,35,,False,none,2074199,partial_or_missing_retained_provider_usage,35915,False,2110114,2077276,partial_or_missing_provider_usage,37189,False,2114465,1,40,37,0
15,ab-testing,astra,pass,valid,completed,none,m3-20260807T155211Z-15-ab-testing-astra-a1,m3_latest_valid_run,362.92644607496914,True,408.058656,11.314155187981669,2026-08-07T16:02:29.742432+00:00,13,13,17146,19052,36198,13,100,False,25,0,25,13,True,33.81805473704918,12,12,0,12,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/ab-testing/m3-20260807T155211Z-15-ab-testing-astra-a1,2026-08-07T15:55:41.683776+00:00,0,12,,False,none,318600,all_retained_completed_responses_reported,12263,True,330863,335746,all_completed_responses_reported,31315,True,367061,0,25,19,0
15,ab-testing,hermes,pass,valid,completed,none,m3-20260807T155211Z-15-ab-testing-hermes-a1,m3_latest_valid_run,164.8141849290114,False,264.791829,9.597754290036391,2026-08-07T16:10:12.961666+00:00,0,0,,,,0,100,False,18,0,18,0,True,90.37988978095223,18,18,0,18,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/hermes/ab-testing/m3-20260807T155211Z-15-ab-testing-hermes-a1,2026-08-07T16:05:48.169837+00:00,0,18,,False,none,649880,all_retained_completed_responses_reported,16520,True,666400,649880,all_completed_responses_reported,16520,True,666400,0,18,22,0
16,academic-pdf-report,astra,pass,valid,completed,none,m3-20260807T155211Z-16-academic-pdf-report-astra-a1,m3_latest_valid_run,1233.6202177850064,True,1280.678281,6.310520032013301,2026-08-07T17:17:48.293225+00:00,32,32,101251,79414,180665,32,100,False,55,0,55,32,True,40.74754318298028,23,23,0,23,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/academic-pdf-report/m3-20260807T155211Z-16-academic-pdf-report-astra-a1,2026-08-07T16:56:27.614944+00:00,0,23,,False,none,1640874,all_retained_completed_responses_reported,32470,True,1673344,1742125,all_completed_responses_reported,111884,True,1854009,0,55,49,2
16,academic-pdf-report,hermes,pass,valid,completed,none,m3-20260807T155211Z-16-academic-pdf-report-hermes-a1,m3_artifact_gate_v2_projection,770.1497460749815,False,918.054089,6.101396706013475,2026-08-07T16:25:55.763235+00:00,6,6,3010,1587,4597,6,100,False,47,1,47,6,True,141.80294621900498,41,41,1,40,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/hermes/academic-pdf-report/m3-20260807T155211Z-16-academic-pdf-report-hermes-a1,2026-08-07T16:10:37.709146+00:00,0,41,,False,none,3054388,partial_or_missing_retained_provider_usage,33832,False,3088220,3057398,partial_or_missing_provider_usage,35419,False,3092817,1,46,74,0
17,academic-warning,astra,pass,valid,completed,none,m3-20260807T155211Z-17-academic-warning-astra-a1,m3_latest_valid_run,463.07001919002505,True,670.235209,186.05390205798903,2026-08-07T17:30:43.327106+00:00,19,19,25422,11073,36495,19,100,False,38,0,38,19,True,21.11128775198597,19,19,0,19,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/academic-warning/m3-20260807T155211Z-17-academic-warning-astra-a1,2026-08-07T17:19:33.091897+00:00,0,19,,False,none,722010,all_retained_completed_responses_reported,23020,True,745030,747432,all_completed_responses_reported,34093,True,781525,0,38,34,0
17,academic-warning,hermes,pass,valid,completed,none,m3-20260807T155211Z-17-academic-warning-hermes-a1,m3_latest_valid_run,342.65652763302205,True,614.417086,185.5300506699714,2026-08-07T17:42:32.832820+00:00,0,0,,,,0,100,False,28,0,28,0,True,86.2305076970066,28,28,0,28,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/hermes/academic-warning/m3-20260807T155211Z-17-academic-warning-hermes-a1,2026-08-07T17:32:18.415734+00:00,0,28,,False,none,1261970,all_retained_completed_responses_reported,21180,True,1283150,1261970,all_completed_responses_reported,21180,True,1283150,0,28,41,0
18,add-bibtex,astra,pass,valid,completed,none,m3-20260807T155211Z-18-add-bibtex-astra-a1,m3_latest_valid_run,1891.987398940022,False,1928.316681,6.106151609972585,2026-08-08T03:19:03.343251+00:00,41,41,112914,91155,204069,40,100,False,71,2,71,41,True,30.22313045000533,30,30,1,29,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/add-bibtex/m3-20260807T155211Z-18-add-bibtex-astra-a1,2026-08-08T02:46:55.026570+00:00,0,30,,False,none,2078743,partial_or_missing_retained_provider_usage,96207,False,2174950,2191657,partial_or_missing_provider_usage,187362,False,2379019,2,69,61,0
18,add-bibtex,hermes,no_pass,valid,completed,completed_but_no_pass,m3-20260807T155211Z-18-add-bibtex-hermes-a1,m3_artifact_gate_v2_projection,777.3134685360128,False,912.972919,4.96860307402676,2026-08-07T17:58:10.578002+00:00,4,4,3182,659,3841,4,100,False,42,1,43,4,False,130.69084738996048,38,39,1,37,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/hermes/add-bibtex/m3-20260807T155211Z-18-add-bibtex-hermes-a1,2026-08-07T17:42:57.605083+00:00,0,39,,False,none,3112549,partial_or_missing_retained_provider_usage,56527,False,3169076,3115731,partial_or_missing_provider_usage,57186,False,3172917,1,41,49,0
19,apply-phd-email,astra,pass,valid,completed,none,m3-20260807T155211Z-19-apply-phd-email-astra-a1,m3_latest_valid_run,324.2045828780392,True,350.146466,4.457287332974374,2026-08-08T03:25:32.033901+00:00,12,12,14256,22770,37026,12,100,False,24,0,24,12,True,21.484595788986383,12,12,0,12,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/apply-phd-email/m3-20260807T155211Z-19-apply-phd-email-astra-a1,2026-08-08T03:19:41.887435+00:00,0,12,,False,none,305141,all_retained_completed_responses_reported,7560,True,312701,319397,all_completed_responses_reported,30330,True,349727,0,24,19,0
19,apply-phd-email,hermes,pass,valid,completed,none,m3-20260807T155211Z-19-apply-phd-email-hermes-a1,m3_latest_valid_run,165.063800783013,False,262.394317,4.67233451094944,2026-08-08T03:30:24.679344+00:00,0,0,,,,0,100,False,23,0,23,0,True,92.65818170603757,23,23,0,23,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/hermes/apply-phd-email/m3-20260807T155211Z-19-apply-phd-email-hermes-a1,2026-08-08T03:26:02.285027+00:00,0,23,,False,none,852008,all_retained_completed_responses_reported,14194,True,866202,852008,all_completed_responses_reported,14194,True,866202,0,23,30,0
20,canvas-arrange-exam,astra,pass,valid,completed,none,m3-20260807T155211Z-20-canvas-arrange-exam-astra-a1,m3_latest_valid_run,255.58095193997724,True,297.43834,7.4623657889897,2026-08-08T03:47:46.454678+00:00,11,11,14261,13690,27951,11,100,False,21,0,21,11,True,34.39502227103304,10,10,0,10,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/canvas-arrange-exam/m3-20260807T155211Z-20-canvas-arrange-exam-astra-a1,2026-08-08T03:42:49.016338+00:00,0,10,,False,none,518316,all_retained_completed_responses_reported,8474,True,526790,532577,all_completed_responses_reported,22164,True,554741,0,21,24,0
20,canvas-arrange-exam,hermes,pass,valid,completed,none,m3-20260807T155211Z-20-canvas-arrange-exam-hermes-a1,m3_latest_valid_run,144.98582207399886,True,175.673946,8.376285005011596,2026-08-08T03:37:45.632001+00:00,0,0,,,,0,100,False,9,0,9,0,True,22.311838920989544,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/hermes/canvas-arrange-exam/m3-20260807T155211Z-20-canvas-arrange-exam-hermes-a1,2026-08-08T03:34:49.958055+00:00,0,9,,False,none,617956,all_retained_completed_responses_reported,7504,True,625460,617956,all_completed_responses_reported,7504,True,625460,0,9,26,0
