position,task_id,system,state,verify_status,run_validity,terminal_status,failure_category,run_id,source,agent_seconds,cache_read_tokens,claim_done_seen,e2e_seconds,evaluator_seconds,finished_at,internal_nonstream_requests,internal_nonstream_requests_completed,internal_nonstream_token_input,internal_nonstream_token_output,internal_nonstream_token_total,internal_nonstream_usage_reported_completed,model_request_limit,model_request_limit_exceeded,model_requests_completed,model_requests_failed,model_requests_started,non_stream_requests,normal_e2e_success,orchestration_seconds,retained_requests_completed_excluding_internal_nonstream,retained_requests_excluding_internal_nonstream,retained_usage_missing_completed_excluding_internal_nonstream,retained_usage_reported_completed_excluding_internal_nonstream,run_directory,started_at,started_only_tool_calls,stream_requests,supplements_run_id,timeout,timeout_scope,token_excluding_internal_nonstream_input,token_excluding_internal_nonstream_note,token_excluding_internal_nonstream_output,token_excluding_internal_nonstream_reliable,token_excluding_internal_nonstream_total,token_input,token_note,token_output,token_reliable,token_total,token_usage_missing_completed,token_usage_reported_completed,tool_calls,tool_failures
4,canvas-homework-grader-python,hermes,,pass,valid,completed,none,m2-20260807T033446Z-04-canvas-homework-grader-python-hermes-a1,m2_qualification,159.06667271797778,,False,247.943812,5.8258177370007616,2026-08-07T03:53:22.529822+00:00,0,0,,,,0,100,False,18,0,18,0,True,83.05132154502147,18,18,0,18,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/canvas-homework-grader-python/m2-20260807T033446Z-04-canvas-homework-grader-python-hermes-a1,2026-08-07T03:49:14.586010+00:00,0,18,,False,none,1029261,all_retained_completed_responses_reported,11930,True,1041191,1029261,all_completed_responses_reported,11930,True,1041191,0,18,42,0
4,canvas-homework-grader-python,pi,complete,pass,valid,completed,none,20260812T105634Z-004-canvas-homework-grader-python-pi-a1,pi_base_108_v1,102.81617964594625,396928,False,131.566241,7.109147998970002,2026-08-12T11:09:10.060461+00:00,0,0,,,,0,100,False,16,0,16,0,True,21.64091335508374,16,16,0,16,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/canvas-homework-grader-python/20260812T105634Z-004-canvas-homework-grader-python-pi-a1,2026-08-12T11:06:58.494220+00:00,0,16,,False,none,432425,all_retained_completed_responses_reported,6191,True,438616,432425,all_completed_responses_reported,6191,True,438616,0,16,36,1
5,arrange-workspace,astra,,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-05-arrange-workspace-astra-a1,m2_qualification,70.05551913799718,,False,108.170562,6.7634049719781615,2026-08-07T06:23:50.842333+00:00,4,4,4815,3221,8036,4,100,False,7,0,7,4,False,31.351637890024662,3,3,0,3,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/arrange-workspace/m2-20260807T033446Z-05-arrange-workspace-astra-a1,2026-08-07T06:22:02.671771+00:00,0,3,,False,none,62793,all_retained_completed_responses_reported,5784,True,68577,67608,all_completed_responses_reported,9005,True,76613,0,7,3,0
5,arrange-workspace,hermes,,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-05-arrange-workspace-hermes-a1,m2_qualification,57.573797509016,,False,86.886788,6.849326598021435,2026-08-07T06:25:43.368105+00:00,0,0,,,,0,100,False,6,0,6,0,False,22.463663892962558,6,6,0,6,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/arrange-workspace/m2-20260807T033446Z-05-arrange-workspace-hermes-a1,2026-08-07T06:24:16.481317+00:00,0,6,,False,none,166925,all_retained_completed_responses_reported,4999,True,171924,166925,all_completed_responses_reported,4999,True,171924,0,6,7,0
5,arrange-workspace,pi,complete,no_pass,valid,completed,completed_but_no_pass,20260812T105634Z-005-arrange-workspace-pi-a1,pi_base_108_v1,45.92437860800419,47872,False,73.548424,6.655232081073336,2026-08-12T11:10:54.818071+00:00,0,0,,,,0,100,False,5,0,5,0,False,20.96881331092247,5,5,0,5,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/arrange-workspace/20260812T105634Z-005-arrange-workspace-pi-a1,2026-08-12T11:09:41.269647+00:00,0,5,,False,none,58935,all_retained_completed_responses_reported,3294,True,62229,58935,all_completed_responses_reported,3294,True,62229,0,5,5,0
6,notion-movies,astra,,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-06-notion-movies-astra-a1,m2_qualification,159.78675059601665,,True,219.527328,39.30559015000472,2026-08-07T06:34:02.206159+00:00,8,8,10328,9917,20245,8,100,False,16,0,16,8,False,20.434987253978647,8,8,0,8,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/notion-movies/m2-20260807T033446Z-06-notion-movies-astra-a1,2026-08-07T06:30:22.678831+00:00,0,8,,False,none,302771,all_retained_completed_responses_reported,4303,True,307074,313099,all_completed_responses_reported,14220,True,327319,0,16,10,0
6,notion-movies,hermes,,pass,valid,completed,none,m2-20260807T033446Z-06-notion-movies-hermes-a1,m2_qualification,119.68807556899264,,False,192.898189,11.445393736998085,2026-08-07T06:29:40.593814+00:00,0,0,,,,0,100,False,14,1,14,0,True,61.76471969400927,14,14,1,13,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/notion-movies/m2-20260807T033446Z-06-notion-movies-hermes-a1,2026-08-07T06:26:27.695625+00:00,0,14,,False,none,703553,partial_or_missing_retained_provider_usage,8952,False,712505,703553,partial_or_missing_provider_usage,8952,False,712505,1,13,19,0
6,notion-movies,pi,complete,pass,valid,completed,none,20260812T105634Z-006-notion-movies-pi-a1,pi_base_108_v1,107.53846935194451,419200,False,140.078855,11.243116220925003,2026-08-12T11:14:14.498043+00:00,0,0,,,,0,100,False,12,0,12,0,True,21.297269427130487,12,12,0,12,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/notion-movies/20260812T105634Z-006-notion-movies-pi-a1,2026-08-12T11:11:54.419188+00:00,0,12,,False,none,475298,all_retained_completed_responses_reported,4911,True,480209,475298,all_completed_responses_reported,4911,True,480209,0,12,15,1
7,price-comparison,astra,,pass,valid,completed,none,m2-20260807T033446Z-07-price-comparison-astra-a1,m2_qualification,173.13088773199706,,True,207.015604,13.270153831021162,2026-08-07T06:38:06.299642+00:00,9,9,11331,10263,21594,9,100,False,18,0,18,9,True,20.61456243698177,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/price-comparison/m2-20260807T033446Z-07-price-comparison-astra-a1,2026-08-07T06:34:39.284038+00:00,0,9,,False,none,212543,all_retained_completed_responses_reported,4654,True,217197,223874,all_completed_responses_reported,14917,True,238791,0,18,11,0
7,price-comparison,hermes,,pass,valid,completed,none,m2-20260807T033446Z-07-price-comparison-hermes-a1,m2_qualification,66.85911377001321,,False,102.757531,13.45076946800691,2026-08-07T06:40:24.903501+00:00,0,0,,,,0,100,False,9,0,9,0,True,22.44764776197988,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/price-comparison/m2-20260807T033446Z-07-price-comparison-hermes-a1,2026-08-07T06:38:42.145970+00:00,0,9,,False,none,252632,all_retained_completed_responses_reported,3075,True,255707,252632,all_completed_responses_reported,3075,True,255707,0,9,12,0
7,price-comparison,pi,complete,pass,valid,completed,none,20260812T105634Z-007-price-comparison-pi-a1,pi_base_108_v1,80.89103738591075,161664,False,116.953072,14.755707907956094,2026-08-12T11:16:52.768086+00:00,0,0,,,,0,100,False,12,0,12,0,True,21.306326706133163,12,12,0,12,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/price-comparison/20260812T105634Z-007-price-comparison-pi-a1,2026-08-12T11:14:55.815014+00:00,0,12,,False,none,178308,all_retained_completed_responses_reported,4099,True,182407,178308,all_completed_responses_reported,4099,True,182407,0,12,16,0
8,quantitative-financial-analysis,astra,,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-08-quantitative-financial-analysis-astra-a1,m2_qualification,249.805767421989,,True,461.634053,180.13114454000606,2026-08-07T06:56:46.768445+00:00,10,10,12572,7428,20000,10,100,False,19,0,19,10,False,31.69714103800493,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/quantitative-financial-analysis/m2-20260807T033446Z-08-quantitative-financial-analysis-astra-a1,2026-08-07T06:49:05.134392+00:00,0,9,,False,none,393686,all_retained_completed_responses_reported,22189,True,415875,406258,all_completed_responses_reported,29617,True,435875,0,19,16,0
8,quantitative-financial-analysis,hermes,,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-08-quantitative-financial-analysis-hermes-a1,m2_qualification,201.4652431329887,,False,414.046834,190.73970114102121,2026-08-07T06:48:11.973352+00:00,0,0,,,,0,100,False,9,0,9,0,False,21.841889725990086,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/quantitative-financial-analysis/m2-20260807T033446Z-08-quantitative-financial-analysis-hermes-a1,2026-08-07T06:41:17.926518+00:00,0,9,,False,none,510540,all_retained_completed_responses_reported,21536,True,532076,510540,all_completed_responses_reported,21536,True,532076,0,9,18,0
8,quantitative-financial-analysis,pi,complete,pass,valid,completed,none,20260812T105634Z-008-quantitative-financial-analysis-pi-a1,pi_base_108_v1,244.47908091405407,485248,False,369.934416,31.31694587005768,2026-08-12T11:23:58.749740+00:00,0,0,,,,0,100,False,11,0,11,0,True,94.13838921588825,11,11,0,11,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/quantitative-financial-analysis/20260812T105634Z-008-quantitative-financial-analysis-pi-a1,2026-08-12T11:17:48.815324+00:00,0,11,,False,none,567109,all_retained_completed_responses_reported,28192,True,595301,567109,all_completed_responses_reported,28192,True,595301,0,11,25,0
9,excel-data-transformation,astra,,pass,valid,completed,none,m2-20260807T033446Z-09-excel-data-transformation-astra-a1,m2_qualification,145.2421274659864,,False,170.209305,4.36632202801411,2026-08-07T07:00:03.417267+00:00,7,7,8701,3995,12696,7,100,False,14,0,14,7,True,20.600855505999476,7,7,0,7,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/excel-data-transformation/m2-20260807T033446Z-09-excel-data-transformation-astra-a1,2026-08-07T06:57:13.207962+00:00,0,7,,False,none,209412,all_retained_completed_responses_reported,10137,True,219549,218113,all_completed_responses_reported,14132,True,232245,0,14,10,0
9,excel-data-transformation,hermes,,pass,valid,completed,none,m2-20260807T033446Z-09-excel-data-transformation-hermes-a1,m2_qualification,198.16823613099405,,True,294.2248,4.5756554340186995,2026-08-07T07:05:20.458522+00:00,0,0,,,,0,100,False,17,1,17,0,True,91.48090843498727,17,17,1,16,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/excel-data-transformation/m2-20260807T033446Z-09-excel-data-transformation-hermes-a1,2026-08-07T07:00:26.233722+00:00,0,17,,False,none,835486,partial_or_missing_retained_provider_usage,26153,False,861639,835486,partial_or_missing_provider_usage,26153,False,861639,1,16,16,0
9,excel-data-transformation,pi,complete,pass,valid,completed,none,20260812T105634Z-009-excel-data-transformation-pi-a1,pi_base_108_v1,562.323935475084,2293120,False,617.786681,6.521845562965609,2026-08-12T11:36:10.955979+00:00,0,0,,,,0,100,False,25,0,25,0,True,48.940899961950436,25,25,0,25,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/excel-data-transformation/20260812T105634Z-009-excel-data-transformation-pi-a1,2026-08-12T11:25:53.169298+00:00,0,25,,False,none,2413470,all_retained_completed_responses_reported,47785,True,2461255,2413470,all_completed_responses_reported,47785,True,2461255,0,25,28,2
10,notion-hr,astra,,pass,valid,completed,none,m2-20260807T033446Z-10-notion-hr-astra-a1,m2_qualification,1795.3698732040066,,True,1834.394784,9.460667620005552,2026-08-07T07:42:53.511726+00:00,43,43,204044,132542,336586,43,100,False,71,0,71,43,True,29.56424317598794,28,28,0,28,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/notion-hr/m2-20260807T033446Z-10-notion-hr-astra-a1,2026-08-07T07:12:19.116942+00:00,0,28,,False,none,2600559,all_retained_completed_responses_reported,53364,True,2653923,2804603,all_completed_responses_reported,185906,True,2990509,0,71,57,0
10,notion-hr,hermes,,pass,valid,completed,none,m2-20260807T033446Z-10-notion-hr-hermes-a1,m2_qualification,212.23136887900182,,False,329.784228,9.469226157001685,2026-08-07T07:11:35.254905+00:00,0,0,,,,0,100,False,16,0,16,0,True,108.08363296399648,16,16,0,16,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/notion-hr/m2-20260807T033446Z-10-notion-hr-hermes-a1,2026-08-07T07:06:05.470677+00:00,0,16,,False,none,1208705,all_retained_completed_responses_reported,17872,True,1226577,1208705,all_completed_responses_reported,17872,True,1226577,0,16,39,0
10,notion-hr,pi,complete,pass,valid,completed,none,20260812T105634Z-010-notion-hr-pi-a1,pi_base_108_v1,144.6189304679865,427520,False,181.780301,8.7772485910682,2026-08-12T11:40:29.030786+00:00,0,0,,,,0,100,False,11,0,11,0,True,28.384121940945306,11,11,0,11,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/notion-hr/20260812T105634Z-010-notion-hr-pi-a1,2026-08-12T11:37:27.250485+00:00,0,11,,False,none,489293,all_retained_completed_responses_reported,13113,True,502406,489293,all_completed_responses_reported,13113,True,502406,0,11,43,0
11,shopping-helper,astra,,no_pass,valid,max_steps,model_request_budget,m2-20260807T033446Z-11-shopping-helper-astra-a1,m2_qualification,1284.0423472099937,,False,1310.075513,11.829440995992627,2026-08-07T08:05:11.532726+00:00,59,59,213755,92861,306616,59,100,True,100,0,100,59,False,14.203724794013624,41,41,0,41,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/shopping-helper/m2-20260807T033446Z-11-shopping-helper-astra-a1,2026-08-07T07:43:21.457213+00:00,0,41,,False,none,2210330,all_retained_completed_responses_reported,19739,True,2230069,2424085,all_completed_responses_reported,112600,True,2536685,0,100,44,0
11,shopping-helper,hermes,,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-11-shopping-helper-hermes-a2,m2_qualification,398.1429414949962,,True,655.558348,158.110021141998,2026-08-07T08:51:38.591481+00:00,0,0,,,,0,100,False,52,0,52,0,False,99.30538536300583,52,52,0,52,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/shopping-helper/m2-20260807T033446Z-11-shopping-helper-hermes-a2,2026-08-07T08:40:43.033133+00:00,0,52,,False,none,3408101,all_retained_completed_responses_reported,14931,True,3423032,3408101,all_completed_responses_reported,14931,True,3423032,0,52,49,0
11,shopping-helper,pi,complete,no_pass,valid,completed,completed_but_no_pass,20260812T105634Z-011-shopping-helper-pi-a1,pi_base_108_v1,323.7441339879297,1560704,False,501.306652,155.65149415202904,2026-08-12T11:49:17.578002+00:00,0,0,,,,0,100,False,44,0,44,0,False,21.91102386004127,44,44,0,44,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/shopping-helper/20260812T105634Z-011-shopping-helper-pi-a1,2026-08-12T11:40:56.271350+00:00,0,44,,False,none,1642001,all_retained_completed_responses_reported,11109,True,1653110,1642001,all_completed_responses_reported,11109,True,1653110,0,44,45,2
12,woocommerce-stock-alert,astra,,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-12-woocommerce-stock-alert-astra-a1,m2_qualification,547.2276020509889,,True,599.961385,19.33846498897765,2026-08-07T09:07:54.444636+00:00,16,16,19751,25659,45410,16,100,False,31,0,31,16,False,33.39531796003337,15,15,0,15,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/woocommerce-stock-alert/m2-20260807T033446Z-12-woocommerce-stock-alert-astra-a1,2026-08-07T08:57:54.483251+00:00,0,15,,False,none,798927,all_retained_completed_responses_reported,29249,True,828176,818678,all_completed_responses_reported,54908,True,873586,0,31,25,0
12,woocommerce-stock-alert,hermes,,pass,valid,completed,none,m2-20260807T033446Z-12-woocommerce-stock-alert-hermes-a1,m2_qualification,125.35080066201044,,True,228.125396,7.900762913021026,2026-08-07T08:56:44.740222+00:00,0,0,,,,0,100,False,14,0,14,0,True,94.87383242496853,14,14,0,14,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/woocommerce-stock-alert/m2-20260807T033446Z-12-woocommerce-stock-alert-hermes-a1,2026-08-07T08:52:56.614826+00:00,0,14,,False,none,882279,all_retained_completed_responses_reported,13160,True,895439,882279,all_completed_responses_reported,13160,True,895439,0,14,20,0
12,woocommerce-stock-alert,pi,complete,pass,valid,completed,none,20260812T105634Z-012-woocommerce-stock-alert-pi-a1,pi_base_108_v1,155.26456784910988,584576,False,188.507316,8.133919398998842,2026-08-12T11:53:50.873673+00:00,0,0,,,,0,100,False,12,0,12,0,True,25.10882875189128,12,12,0,12,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/woocommerce-stock-alert/20260812T105634Z-012-woocommerce-stock-alert-pi-a1,2026-08-12T11:50:42.366357+00:00,0,12,,False,none,670264,all_retained_completed_responses_reported,9998,True,680262,670264,all_completed_responses_reported,9998,True,680262,0,12,23,0
13,git-bug-hunt,astra,,pass,valid,completed,none,m2-20260807T033446Z-13-git-bug-hunt-astra-a1,m2_qualification,740.4159623049782,,True,766.345229,4.598482861008961,2026-08-07T09:21:10.791862+00:00,19,19,23598,44723,68321,19,100,False,38,0,38,19,True,21.33078383401289,19,19,0,19,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/git-bug-hunt/m2-20260807T033446Z-13-git-bug-hunt-astra-a1,2026-08-07T09:08:24.446633+00:00,0,19,,False,none,762487,all_retained_completed_responses_reported,31239,True,793726,786085,all_completed_responses_reported,75962,True,862047,0,38,30,0
13,git-bug-hunt,hermes,,pass,valid,completed,none,m2-20260807T033446Z-13-git-bug-hunt-hermes-a1,m2_qualification,68.12786239298293,,False,95.332258,4.330554221989587,2026-08-07T09:40:45.953466+00:00,0,0,,,,0,100,False,8,0,8,0,True,22.873841385027475,8,8,0,8,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/git-bug-hunt/m2-20260807T033446Z-13-git-bug-hunt-hermes-a1,2026-08-07T09:39:10.621208+00:00,0,8,,False,none,307968,all_retained_completed_responses_reported,2882,True,310850,307968,all_completed_responses_reported,2882,True,310850,0,8,12,0
13,git-bug-hunt,pi,complete,pass,valid,completed,none,20260812T105634Z-013-git-bug-hunt-pi-a1,pi_base_108_v1,42.318142834934406,69504,False,66.808005,3.9849030250916258,2026-08-12T11:55:28.628598+00:00,0,0,,,,0,100,False,8,0,8,0,True,20.504959139973963,8,8,0,8,/home/vagrant/moi-benchmark/astra/results/toolathlon-pi-108-v1/runs/pi/git-bug-hunt/20260812T105634Z-013-git-bug-hunt-pi-a1,2026-08-12T11:54:21.820593+00:00,0,8,,False,none,79497,all_retained_completed_responses_reported,1888,True,81385,79497,all_completed_responses_reported,1888,True,81385,0,8,13,0
14,k8s-safety-audit,astra,,pass,valid,completed,none,m2-20260807T033446Z-14-k8s-safety-audit-astra-a1,m2_qualification,666.7192952029873,,True,730.64592,20.970521576004103,2026-08-07T10:31:02.237600+00:00,21,21,30896,32408,63304,21,100,False,40,0,40,21,True,42.956103221008675,19,19,0,19,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/k8s-safety-audit/m2-20260807T033446Z-14-k8s-safety-audit-astra-a1,2026-08-07T10:18:51.591680+00:00,0,19,,False,none,846638,all_retained_completed_responses_reported,29879,True,876517,877534,all_completed_responses_reported,62287,True,939821,0,40,32,2
14,k8s-safety-audit,hermes,,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-14-k8s-safety-audit-hermes-a1,m2_qualification,578.4770586270024,,False,752.876688,31.292647435009712,2026-08-07T09:55:28.715922+00:00,6,6,3077,1274,4351,6,100,False,41,1,41,6,False,143.10698193798783,35,35,1,34,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/k8s-safety-audit/m2-20260807T033446Z-14-k8s-safety-audit-hermes-a1,2026-08-07T09:42:55.839234+00:00,0,35,,False,none,2074199,partial_or_missing_retained_provider_usage,35915,False,2110114,2077276,partial_or_missing_provider_usage,37189,False,2114465,1,40,37,0
