task_id,attempt_count_for_task,selected_run_dir,selected_trial_name,selected_trial_path,selected_finished_at,reward,verify_status,normal_e2e_pass,outcome_bucket,timeout,product_terminal_status,product_return_code,product_completion_claim,run_status,run_error,trajectory_capture_status,trajectory_terminal_event,trajectory_terminal_event_count,trajectory_capture_error,e2e_s,environment_setup_s,agent_setup_s,agent_execution_s,verifier_s,run_duration_s,tool_calls,tool_calls_failed,tool_call_failure_rate,tool_duration_s,tool_breakdown,failed_tool_breakdown,session_api_calls,session_messages,message_delta_count,model_activity_observed,gateway_response_truncated_count,gateway_balance_error_line_count,token_input,token_output,token_total,token_source,token_accounting_status,token_sources_consistent,cost_usd,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,failed_test_names
gcode-to-text,1,2026-07-31__03-57-56,gcode-to-text__igrmbEY,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__03-57-56/gcode-to-text__igrmbEY,2026-07-30T20:28:38.876971Z,0,no_pass,False,timeout_no_pass,True,timeout,124,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,failed,,0,RuntimeError: Hermes run event stream must contain exactly one terminal event,1841.295264,1.544884,5.118871,1813.421198,8.073604,1810.2267246246338,69,12,0.17391304347826086,728.4199999999998,"{""browser_console"": 1, ""browser_navigate"": 4, ""browser_vision"": 3, ""execute_code"": 1, ""patch"": 1, ""read_file"": 2, ""terminal"": 36, ""vision_analyze"": 2, ""write_file"": 19}","{""browser_vision"": 3, ""execute_code"": 1, ""terminal"": 6, ""vision_analyze"": 2}",70,140,580,True,0,21,,,,missing,missing_after_model_activity,,,2,0,2,0,test_outputs.py::test_hello_file_exists; test_outputs.py::test_hello_file_content
git-multibranch,3,2026-08-03__21-40-47,git-multibranch__6hMZ53E,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__21-40-47/git-multibranch__6hMZ53E,2026-08-03T13:47:47.930750Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,419.342564,1.361837,5.868426,342.425315,57.409356,339.5697329044342,8,1,0.125,84.824,"{""terminal"": 6, ""write_file"": 2}","{""write_file"": 1}",9,18,465,True,0,0,153833,25608,179441,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_multi_branch_https_deploy
gpt2-codegolf,1,2026-07-31__04-56-32,gpt2-codegolf__D7dv6Qz,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__04-56-32/gpt2-codegolf__D7dv6Qz,2026-07-30T21:27:34.124439Z,0,no_pass,False,timeout_no_pass,True,timeout,124,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,failed,,0,RuntimeError: Hermes run event stream must contain exactly one terminal event,1860.639206,1.562334,4.966959,1812.852428,28.525077,1810.0553653240204,21,4,0.19047619047619047,52.929,"{""execute_code"": 1, ""terminal"": 20}","{""execute_code"": 1, ""terminal"": 3}",14,36,108,True,0,0,,,,missing,missing_after_model_activity,,,1,0,1,0,test_outputs.py::test_gpt2_implementation
hf-model-inference,1,2026-07-31__18-12-00,hf-model-inference__ir8cZ2b,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__18-12-00/hf-model-inference__ir8cZ2b,2026-07-31T10:14:24.619594Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,143.769157,1.851014,4.840071,113.181725,11.409531,110.61556506156921,7,1,0.14285714285714285,49.632999999999996,"{""skill_view"": 1, ""terminal"": 5, ""write_file"": 1}","{""terminal"": 1}",6,14,364,True,0,0,106347,1589,107936,hermes-run.json.usage,reported,True,,4,1,3,0,test_outputs.py::test_flask_api_running; test_outputs.py::test_sentiment_endpoint; test_outputs.py::test_api_error_handling
install-windows-3.11,2,2026-08-03__23-21-15,install-windows-3.11__gX7oDxT,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__23-21-15/install-windows-3.11__gX7oDxT,2026-08-03T15:49:01.324149Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1665.226833,1.471701,4.689481,1502.533443,144.089997,1499.9160656929016,91,9,0.0989010989010989,869.7230000000001,"{""execute_code"": 1, ""terminal"": 71, ""vision_analyze"": 13, ""write_file"": 6}","{""execute_code"": 1, ""terminal"": 7, ""write_file"": 1}",90,184,2048,True,0,0,2873943,20399,2894342,hermes-run.json.usage,reported,True,,4,1,3,0,test_outputs.py::test_network_status; test_outputs.py::test_qemu_running_with_correct_params; test_outputs.py::test_windows_keys_with_visual_feedback
kv-store-grpc,1,2026-07-31__06-25-39,kv-store-grpc__Ef67kGg,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__06-25-39/kv-store-grpc__Ef67kGg,2026-07-30T22:29:18.315104Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,218.285117,1.322066,4.758568,193.039486,7.0392,190.42797923088074,15,1,0.06666666666666667,16.88,"{""execute_code"": 1, ""process"": 1, ""read_file"": 1, ""terminal"": 5, ""todo"": 5, ""write_file"": 2}","{""execute_code"": 1}",15,31,471,True,0,0,274933,11239,286172,hermes-run.json.usage,reported,True,,7,5,2,0,test_outputs.py::test_real_grpc_server_running; test_outputs.py::test_grpc_server_functionality
mailman,4,2026-08-03__18-55-56,mailman__2rNCUU9,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__18-55-56/mailman__2rNCUU9,2026-08-03T11:21:51.834787Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1554.749889,2.610505,7.498559,1448.1262,80.967898,1442.3819499015808,105,14,0.13333333333333333,305.373,"{""patch"": 3, ""read_file"": 1, ""terminal"": 93, ""todo"": 4, ""write_file"": 4}","{""terminal"": 13, ""write_file"": 1}",90,198,805,True,0,0,4329273,73900,4403173,hermes-run.json.usage,reported,True,,3,2,1,0,test_outputs.py::test_join_announce_leave_flow
make-doom-for-mips,1,2026-07-31__07-29-59,make-doom-for-mips__Wjfu7d3,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__07-29-59/make-doom-for-mips__Wjfu7d3,2026-07-30T23:46:23.328886Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,983.142703,1.459339,4.989676,922.177666,42.358033,919.4872672557831,99,3,0.030303030303030304,111.07199999999997,"{""execute_code"": 2, ""patch"": 17, ""read_file"": 7, ""terminal"": 64, ""todo"": 5, ""write_file"": 4}","{""execute_code"": 2, ""terminal"": 1}",90,192,1849,True,0,0,6778095,43246,6821341,hermes-run.json.usage,reported,True,,3,0,3,0,test_outputs.py::test_vm_execution; test_outputs.py::test_frame_bmp_exists; test_outputs.py::test_frame_bmp_similar_to_reference
make-mips-interpreter,1,2026-07-31__07-48-27,make-mips-interpreter__MwMSXQK,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__07-48-27/make-mips-interpreter__MwMSXQK,2026-07-31T00:12:25.183018Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1437.042551,1.240245,4.900846,1374.897336,43.747887,1372.2602412700653,115,2,0.017391304347826087,51.38500000000002,"{""execute_code"": 1, ""patch"": 7, ""read_file"": 8, ""terminal"": 98, ""write_file"": 1}","{""execute_code"": 1, ""terminal"": 1}",90,208,456,True,0,0,6721214,86150,6807364,hermes-run.json.usage,reported,True,,3,0,3,0,test_outputs.py::test_vm_execution; test_outputs.py::test_frame_bmp_exists; test_outputs.py::test_frame_bmp_similar_to_reference
mteb-leaderboard,1,2026-08-02__22-49-10,mteb-leaderboard__3VAdWK5,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-02__22-49-10/mteb-leaderboard__3VAdWK5,2026-08-02T14:54:52.996249Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,341.860102,1.371298,5.638351,304.617392,17.376027,301.996928691864,19,1,0.05263157894736842,110.24199999999999,"{""browser_click"": 4, ""browser_console"": 1, ""browser_navigate"": 1, ""browser_snapshot"": 6, ""browser_type"": 1, ""execute_code"": 1, ""read_file"": 2, ""terminal"": 2, ""write_file"": 1}","{""execute_code"": 1}",20,40,527,True,0,0,816619,13784,830403,hermes-run.json.usage,reported,True,,2,1,1,0,test_outputs.py::test_data_matches
mteb-retrieve,1,2026-08-02__22-58-05,mteb-retrieve__jh8rC55,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-02__22-58-05/mteb-retrieve__jh8rC55,2026-08-02T15:06:27.698125Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,501.917447,1.204,5.318391,130.614285,351.477311,127.94000053405762,10,3,0.3,65.302,"{""execute_code"": 1, ""patch"": 2, ""read_file"": 2, ""terminal"": 4, ""write_file"": 1}","{""execute_code"": 1, ""terminal"": 2}",10,21,351,True,0,0,175985,2274,178259,hermes-run.json.usage,reported,True,,2,1,1,0,test_outputs.py::test_data_matches
nginx-request-logging,2,2026-08-03__21-29-04,nginx-request-logging__w6DggNY,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__21-29-04/nginx-request-logging__w6DggNY,2026-08-03T13:31:40.118511Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,154.577238,1.327548,5.447734,115.938067,19.71762,113.23860907554626,15,1,0.06666666666666667,37.999,"{""read_file"": 1, ""terminal"": 11, ""write_file"": 3}","{""write_file"": 1}",11,27,658,True,0,0,197199,2478,199677,hermes-run.json.usage,reported,True,,8,3,5,0,test_outputs.py::test_nginx_running; test_outputs.py::test_index_page_content; test_outputs.py::test_custom_404_page; test_outputs.py::test_log_file_creation; test_outputs.py::test_log_file_format
openssl-selfsigned-cert,1,2026-07-31__09-50-26,openssl-selfsigned-cert__sXE9ZoE,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__09-50-26/openssl-selfsigned-cert__sXE9ZoE,2026-07-31T01:52:29.472154Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,122.695403,1.297478,4.801406,95.627764,8.954705,92.95816707611084,4,0,0.0,6.725999999999999,"{""terminal"": 3, ""write_file"": 1}",{},4,9,382,True,0,0,69026,4119,73145,hermes-run.json.usage,reported,True,,6,5,1,0,test_outputs.py::test_python_verification_script
protein-assembly,1,2026-07-31__13-27-47,protein-assembly__mDbiyVc,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__13-27-47/protein-assembly__mDbiyVc,2026-07-31T05:48:08.270146Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1219.905414,1.28544,4.983553,1190.875157,10.497897,1187.7352712154388,44,6,0.13636363636363635,150.739,"{""execute_code"": 3, ""patch"": 1, ""read_file"": 4, ""terminal"": 20, ""write_file"": 16}","{""execute_code"": 3, ""terminal"": 3}",40,85,1377,True,0,0,1873034,68804,1941838,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_gblock
pypi-server,1,2026-07-31__14-05-34,pypi-server__SzFsDEH,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__14-05-34/pypi-server__SzFsDEH,2026-07-31T06:11:13.496979Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,338.205383,7.690237,16.974579,259.93606,37.318206,253.27392196655273,23,2,0.08695652173913043,74.995,"{""patch"": 1, ""terminal"": 13, ""todo"": 5, ""write_file"": 4}","{""terminal"": 2}",26,50,1274,True,0,0,522121,5084,527205,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_api
pytorch-model-recovery,1,2026-07-31__14-20-57,pytorch-model-recovery__Nf3p9xm,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__14-20-57/pytorch-model-recovery__Nf3p9xm,2026-07-31T06:32:50.576849Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,711.942168,6.121543,21.744774,642.799577,23.743763,632.3664529323578,15,1,0.06666666666666667,284.91400000000004,"{""terminal"": 14, ""write_file"": 1}","{""terminal"": 1}",16,32,483,True,0,0,331595,15539,347134,hermes-run.json.usage,reported,True,,,,,,
qemu-alpine-ssh,1,2026-07-31__14-36-17,qemu-alpine-ssh__7Aa9Evb,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__14-36-17/qemu-alpine-ssh__7Aa9Evb,2026-07-31T07:07:17.758763Z,0,no_pass,False,timeout_no_pass,True,timeout,124,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,failed,,0,RuntimeError: Hermes run event stream must contain exactly one terminal event,1859.463018,2.794147,6.492788,1814.445818,22.734628,1810.1667466163635,74,7,0.0945945945945946,1111.4170000000004,"{""execute_code"": 1, ""process"": 5, ""terminal"": 65, ""write_file"": 3}","{""execute_code"": 1, ""terminal"": 6}",73,149,1155,True,0,0,,,,missing,missing_after_model_activity,,,1,0,1,0,test_outputs.py::test_sshpass
qemu-startup,1,2026-07-31__15-09-06,qemu-startup__4pKPFNL,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__15-09-06/qemu-startup__4pKPFNL,2026-07-31T07:21:49.298580Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,761.748263,1.883062,5.680625,702.337753,38.732927,699.411484003067,33,2,0.06060606060606061,349.375,"{""process"": 3, ""terminal"": 30}","{""terminal"": 2}",34,68,209,True,0,0,682660,10446,693106,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_version
query-optimize,1,2026-07-31__15-29-40,query-optimize__GxjCVic,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__15-29-40/query-optimize__GxjCVic,2026-07-31T07:50:29.847533Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1247.625846,1.976651,5.939143,655.482353,571.276028,652.1573147773743,15,1,0.06666666666666667,436.11100000000005,"{""read_file"": 1, ""terminal"": 12, ""write_file"": 2}","{""terminal"": 1}",11,27,589,True,0,0,201282,8797,210079,hermes-run.json.usage,reported,True,,6,5,1,0,test_outputs.py::test_compare_golden_vs_solution_runtime
raman-fitting,1,2026-07-31__15-53-54,raman-fitting__NhucZkQ,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__15-53-54/raman-fitting__NhucZkQ,2026-07-31T08:24:38.153590Z,0,no_pass,False,timeout_no_pass,True,timeout,124,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,failed,,0,RuntimeError: Hermes run event stream must contain exactly one terminal event,1843.06723,1.658313,4.954548,1813.399043,10.467462,1810.0890061855316,28,4,0.14285714285714285,376.506,"{""execute_code"": 1, ""read_file"": 1, ""search_files"": 1, ""terminal"": 15, ""vision_analyze"": 3, ""write_file"": 7}","{""execute_code"": 1, ""read_file"": 1, ""terminal"": 2}",29,58,290,True,0,0,,,,missing,missing_after_model_activity,,,3,1,2,0,test_outputs.py::test_G_Peak; test_outputs.py::test_2D_Peak
regex-chess,1,2026-07-31__16-27-08,regex-chess__rewQYY8,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__16-27-08/regex-chess__rewQYY8,2026-07-31T09:07:46.596140Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,2437.370633,3.36615,9.394427,2396.568546,14.891488,2391.2145721912384,0,0,0.0,0,{},{},0,8,0,False,4,0,0,0,0,hermes-run.json.usage,suspect_zero_after_model_activity,True,,4,0,4,0,test_outputs.py::test_immortal_game; test_outputs.py::test_game_of_century; test_outputs.py::test_naroditsky_ivanchuk; test_outputs.py::test_not_long
rstan-to-pystan,2,2026-08-03__22-43-18,rstan-to-pystan__mXed4eq,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__22-43-18/rstan-to-pystan__mXed4eq,2026-08-03T15:04:08.287232Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1248.642619,1.41699,5.016755,1209.304744,19.845388,1206.2168316841125,27,8,0.2962962962962963,955.584,"{""read_file"": 2, ""terminal"": 22, ""write_file"": 3}","{""terminal"": 8}",27,55,635,True,0,0,642791,11377,654168,hermes-run.json.usage,reported,True,,6,4,2,0,test_outputs.py::test_rho_estimation_accuracy; test_outputs.py::test_beta_estimation_accuracy
sanitize-git-repo,1,2026-08-03__00-52-58,sanitize-git-repo__GDkK2fC,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__00-52-58/sanitize-git-repo__GDkK2fC,2026-08-02T17:06:30.411152Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,810.990924,1.229956,4.884988,781.718733,11.017734,778.6329822540283,109,4,0.03669724770642202,319.33100000000013,"{""execute_code"": 1, ""patch"": 4, ""read_file"": 2, ""skills_list"": 1, ""terminal"": 99, ""todo"": 2}","{""execute_code"": 1, ""patch"": 1, ""terminal"": 2}",90,202,676,True,0,0,7908487,24996,7933483,hermes-run.json.usage,reported,True,,3,1,2,0,test_outputs.py::test_removal_of_secret_information; test_outputs.py::test_correct_replacement_of_secret_information
schemelike-metacircular-eval,1,2026-08-03__01-09-06,schemelike-metacircular-eval__yg4MmVE,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__01-09-06/schemelike-metacircular-eval__yg4MmVE,2026-08-02T17:31:14.872333Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1327.783932,1.32551,5.283992,1280.270969,28.830822,1277.3792490959167,48,0,0.0,24.002999999999997,"{""read_file"": 35, ""search_files"": 1, ""terminal"": 12}",{},48,104,71,True,4,0,1618804,1570,1620374,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_interp
torch-pipeline-parallelism,1,2026-08-03__02-16-24,torch-pipeline-parallelism__TzE6wUb,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__02-16-24/torch-pipeline-parallelism__TzE6wUb,2026-08-02T18:38:56.544600Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1350.93726,1.238646,5.453902,1068.338715,262.677837,1065.5228445529938,0,0,0.0,0,{},{},0,8,0,False,4,0,0,0,0,hermes-run.json.usage,suspect_zero_after_model_activity,True,,3,0,3,0,test_outputs.py::test_pipeline_parallel_exists; test_outputs.py::test_no_hooks_in_pipeline_parallel; test_outputs.py::test_pipeline_parallel
train-fasttext,2,2026-08-03__11-56-24,train-fasttext__hXDqJyx,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__11-56-24/train-fasttext__hXDqJyx,2026-08-03T05:58:00.152830Z,0,no_pass,False,timeout_no_pass,True,timeout,124,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,failed,,0,RuntimeError: Hermes run event stream must contain exactly one terminal event,7294.599601,1.768145,5.571975,7216.424715,56.78534,7210.916226863861,80,2,0.025,6454.759000000002,"{""process"": 63, ""search_files"": 1, ""terminal"": 13, ""write_file"": 3}","{""terminal"": 2}",79,161,310,True,0,0,,,,missing,missing_after_model_activity,,,2,1,1,0,test_outputs.py::test_accuracy
