task_id,run_dir,trial_name,trial_path,reward,scored,strict_e2e_success,exception,exception_type,started_at,finished_at,e2e_s,environment_setup_s,agent_setup_s,agent_execution_s,verifier_s,product_terminal_status,product_return_code,product_completion_claim,product_error_type,product_final_status,cleanup_zero_live_proven,trigger_hit,trigger_reason,lifecycle_gate_passed,formal_score_eligible,run_status,run_error,run_duration_s,session_present,api_calls,session_tool_calls,tool_calls,tool_calls_failed,tool_call_failure_rate,tool_duration_s,tool_breakdown,failed_tool_breakdown,fresh_input_tokens,cache_tokens,cache_write_tokens,input_tokens,output_tokens,reasoning_tokens,total_tokens,cache_share,cost_status,actual_cost_usd,outcome_category,failure_reason,recommended_action,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,failed_test_names
caffe-cifar-10,2026-07-30__17-41-21,caffe-cifar-10__MyMkUd9,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__17-41-21/caffe-cifar-10__MyMkUd9,0,True,False,False,,2026-07-30T09:41:22.035312Z,2026-07-30T10:49:14.457726Z,4072.422414,1.239566,6.144441,4029.988712,15.38807,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,4026.4761703014374,True,90,90,90,6,0.06666666666666667,3551.007000000001,"{""patch"": 5, ""process"": 20, ""terminal"": 59, ""todo"": 5, ""write_file"": 1}","{""terminal"": 6}",24997,2401344,0,2426341,6896,179,2433237,0.9896976558529902,unknown,,task_requirement_failure,Verifier 3/6；训练模型与 training_output.txt 等交付物缺失,保留任务零分,6,3,3,0,test_outputs.py::test_cifar10_model_exists; test_outputs.py::test_training_completed_500_iterations; test_outputs.py::test_model_accuracy_verification
compile-compcert,2026-07-30__19-01-52,compile-compcert__THECWzy,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__19-01-52/compile-compcert__THECWzy,0,True,False,False,,2026-07-30T11:01:53.677033Z,2026-07-30T12:22:49.060696Z,4855.383663,1.601795,6.721899,4813.838418,13.181647,timeout,124,False,,timed_out,True,False,product_exited_before_noop,False,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,4810.222845077515,True,31,33,31,5,0.16129032258064516,4583.919,"{""process"": 14, ""terminal"": 17}","{""terminal"": 5}",57167,506048,0,563215,1785,313,565000,0.8984987970845947,unknown,,agent_deadline_zero,Hermes 超过 driver deadline；/tmp/CompCert/ccomp 未生成，Verifier 0/3,若 deadline 属实验预算则保留零分；否则提高 deadline 后完整重跑,3,0,3,0,test_outputs.py::test_compcert_exists_and_executable; test_outputs.py::test_compcert_valid_and_functional; test_outputs.py::test_compcert_rejects_unsupported_feature
configure-git-webserver,2026-07-30__20-30-38,configure-git-webserver__VuHrDDN,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-30-38/configure-git-webserver__VuHrDDN,0,True,False,False,,2026-07-30T12:30:39.355122Z,2026-07-30T12:33:59.195375Z,199.840253,1.274554,5.020796,149.853783,31.439227,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,147.3514368534088,True,19,18,18,1,0.05555555555555555,12.917000000000003,"{""terminal"": 11, ""todo"": 6, ""write_file"": 1}","{""terminal"": 1}",7016,324416,0,331432,2106,483,333538,0.9788312534697917,unknown,,background_lifecycle_failure,Agent 内服务可用，但 gateway 收尾后 HTTP 返回 000；后台服务未持久化到 Verifier,使用独立 daemon 后完整重跑,1,0,1,0,test_outputs.py::test_hello_html_exists
constraints-scheduling,2026-07-30__20-41-17,constraints-scheduling__cX4gLS6,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-41-17/constraints-scheduling__cX4gLS6,1,True,True,False,,2026-07-30T12:41:18.070365Z,2026-07-30T12:46:06.172995Z,288.10263,1.45743,12.423033,232.202714,29.818685,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,229.6567976474762,True,6,8,8,1,0.125,10.193,"{""execute_code"": 1, ""read_file"": 4, ""terminal"": 2, ""write_file"": 1}","{""execute_code"": 1}",8441,114048,0,122489,12755,7994,135244,0.9310876895068129,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,3,3,0,0,
count-dataset-tokens,2026-07-30__20-48-04,count-dataset-tokens__hSzRjmb,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-48-04/count-dataset-tokens__hSzRjmb,1,True,True,False,,2026-07-30T12:48:04.902959Z,2026-07-30T13:01:36.125593Z,811.222634,1.143432,4.94288,783.782245,8.847043,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,780.5511901378632,True,25,24,24,2,0.08333333333333333,375.5529999999999,"{""read_file"": 1, ""skill_view"": 1, ""terminal"": 21, ""write_file"": 1}","{""terminal"": 2}",16879,578560,0,595439,17932,11621,613371,0.9716528477308339,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,1,1,0,0,
crack-7z-hash,2026-07-30__21-08-33,crack-7z-hash__hexw2DN,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-08-33/crack-7z-hash__hexw2DN,1,True,True,False,,2026-07-30T13:08:34.066892Z,2026-07-30T13:30:04.547190Z,1290.480298,1.188837,5.269881,1258.606826,13.137839,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,1255.8618605136871,True,38,37,37,7,0.1891891891891892,1040.203,"{""search_files"": 1, ""terminal"": 35, ""write_file"": 1}","{""terminal"": 7}",8549,736832,0,745381,1935,60,747316,0.9885306977237145,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,2,2,0,0,
custom-memory-heap-crash,2026-07-30__21-37-12,custom-memory-heap-crash__bzdH3jy,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-37-12/custom-memory-heap-crash__bzdH3jy,1,True,True,False,,2026-07-30T13:37:13.568252Z,2026-07-30T13:47:18.184798Z,604.616546,1.227586,5.138578,545.286684,40.732833,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,542.524286031723,True,28,39,39,0,0.0,45.93,"{""read_file"": 3, ""search_files"": 1, ""terminal"": 34, ""write_file"": 1}",{},17577,656960,0,674537,26244,19463,700781,0.9739421262288058,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,6,6,0,0,
db-wal-recovery,2026-07-30__21-54-42,db-wal-recovery__33DeyG7,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-54-42/db-wal-recovery__33DeyG7,1,True,True,False,,2026-07-30T13:54:43.494607Z,2026-07-30T14:22:16.612574Z,1653.117967,1.24473,5.159238,1598.077244,36.004524,completed,0,True,,completed,True,False,product_exited,False,False,completed,,1594.6711828708649,True,76,75,75,8,0.10666666666666667,302.75000000000006,"{""execute_code"": 1, ""terminal"": 74}","{""execute_code"": 1, ""terminal"": 7}",132564,3214656,0,3347220,64572,48030,3411792,0.9603957911341352,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,7,7,0,0,
distribution-search,2026-07-30__22-24-38,distribution-search__vcpnUUq,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__22-24-38/distribution-search__vcpnUUq,1,True,True,False,,2026-07-30T14:24:38.745882Z,2026-07-30T14:37:03.746305Z,745.000423,1.388637,5.489648,705.076699,20.535286,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,702.2267532348633,True,4,3,3,0,0.0,62.839999999999996,"{""terminal"": 2, ""write_file"": 1}",{},3090,66176,0,69266,60081,57661,129347,0.9553893685213525,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,4,4,0,0,
dna-assembly,2026-07-30__22-45-12,dna-assembly__uska5na,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__22-45-12/dna-assembly__uska5na,0,True,False,False,,2026-07-30T14:45:12.957757Z,2026-07-30T15:20:24.476893Z,2111.519136,1.232812,5.682738,2054.910714,37.22369,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,2052.0544426441193,True,41,43,43,12,0.27906976744186046,184.227,"{""execute_code"": 1, ""read_file"": 2, ""terminal"": 39, ""write_file"": 1}","{""execute_code"": 1, ""terminal"": 11}",76178,1684544,0,1760722,152539,100995,1913261,0.9567347940219978,unknown,,task_requirement_failure,Verifier 0/1；primers.fasta 未满足扩增和 overhang 要求,保留任务零分,1,0,1,0,test_outputs.py::test_primers
dna-insert,2026-07-30__23-29-41,dna-insert__3jGZkjs,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__23-29-41/dna-insert__3jGZkjs,0,True,False,False,,2026-07-30T15:29:42.481441Z,2026-07-30T15:42:07.332772Z,744.851331,1.243995,5.236199,711.152302,14.362863,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,708.3036739826202,True,35,34,34,4,0.11764705882352941,255.919,"{""read_file"": 2, ""terminal"": 32}","{""terminal"": 4}",43937,901632,0,945569,16254,748,961823,0.9535337981680871,unknown,,task_requirement_failure,Verifier 0/1；primers.fasta 未满足插入任务要求,保留任务零分,1,0,1,0,test_outputs.py::test_primers
extract-elf,2026-07-30__23-48-32,extract-elf__L78scP6,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__23-48-32/extract-elf__L78scP6,1,True,True,False,,2026-07-30T15:48:33.318136Z,2026-07-30T16:03:10.123167Z,876.805031,1.183685,5.228334,825.121877,33.126944,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,822.4639291763306,True,13,18,18,1,0.05555555555555555,24.467999999999993,"{""terminal"": 17, ""write_file"": 1}","{""terminal"": 1}",18671,333568,0,352239,65641,62825,417880,0.9469933766561909,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,2,2,0,0,
extract-moves-from-video,2026-07-31__00-10-48,extract-moves-from-video__CTkXDwT,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__00-10-48/extract-moves-from-video__CTkXDwT,,False,False,True,ExceptionGroup,2026-07-30T16:10:48.888945Z,2026-07-30T17:11:20.254132Z,3631.365187,1.297126,4.920628,3612.700341,,adapter_infra_error,,False,ExceptionGroup,timed_out,False,False,controller_incomplete,False,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,3610.070508956909,True,42,44,42,9,0.21428571428571427,3343.134000000001,"{""execute_code"": 1, ""process"": 2, ""terminal"": 37, ""vision_analyze"": 2}","{""execute_code"": 1, ""terminal"": 8}",38513,949184,0,987697,5181,657,992878,0.9610072724732382,unknown,,deadline_adapter_no_verifier,Hermes run 超过 deadline，随后 cleanup report 缺失，Verifier 未运行,完整重跑；若保留原 deadline，应将超时作为明确终态,,,,,
feal-differential-cryptanalysis,2026-07-31__01-13-23,feal-differential-cryptanalysis__cdkHeUK,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__01-13-23/feal-differential-cryptanalysis__cdkHeUK,1,True,True,False,,2026-07-30T17:13:24.578740Z,2026-07-30T17:19:50.439880Z,385.86114,1.340182,5.141088,340.470276,26.714507,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,337.78414368629456,True,13,12,12,2,0.16666666666666666,15.489999999999998,"{""execute_code"": 1, ""read_file"": 1, ""terminal"": 6, ""write_file"": 4}","{""execute_code"": 1, ""terminal"": 1}",7856,241536,0,249392,29487,24545,278879,0.9684993905177391,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,1,1,0,0,
feal-linear-cryptanalysis,2026-07-31__01-21-50,feal-linear-cryptanalysis__my336PY,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__01-21-50/feal-linear-cryptanalysis__my336PY,0,True,False,False,,2026-07-30T17:21:51.656060Z,2026-07-30T17:40:56.423279Z,1144.767219,1.267155,5.35748,1117.4618,8.613736,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,1114.7482109069824,True,1,3,3,0,0.0,2.829,"{""read_file"": 3}",{},194,15424,0,15618,174,116,15792,0.9875784351389423,unknown,,task_requirement_failure,Verifier 0/1；线性密码分析输出未正确解密全部密文,保留任务零分,1,0,1,0,test_outputs.py::test_attack
filter-js-from-html,2026-07-31__01-42-23,filter-js-from-html__RdhDxsm,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__01-42-23/filter-js-from-html__RdhDxsm,1,True,True,False,,2026-07-30T17:42:24.021993Z,2026-07-30T18:07:32.119401Z,1508.097408,1.182453,4.714443,808.251504,679.104642,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,805.7443466186523,True,7,6,6,0,0.0,5.651,"{""terminal"": 4, ""write_file"": 2}",{},3412,120128,0,123540,3734,1044,127274,0.9723814149263397,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,2,2,0,0,
financial-document-processor,2026-07-31__02-15-56,financial-document-processor__xaV7aav,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__02-15-56/financial-document-processor__xaV7aav,1,True,True,False,,2026-07-30T18:15:57.517525Z,2026-07-30T18:22:19.990336Z,382.472811,1.298083,5.027593,348.483172,15.204307,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,345.9550664424896,True,20,28,28,2,0.07142857142857142,270.46799999999996,"{""execute_code"": 1, ""terminal"": 14, ""vision_analyze"": 11, ""write_file"": 2}","{""execute_code"": 1, ""terminal"": 1}",33732,408832,0,442564,13087,9662,455651,0.9237805153604902,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,7,7,0,0,
fix-code-vulnerability,2026-07-31__02-24-20,fix-code-vulnerability__Uo3XDpv,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__02-24-20/fix-code-vulnerability__Uo3XDpv,1,True,True,False,,2026-07-30T18:24:20.899841Z,2026-07-30T18:28:06.847602Z,225.947761,1.24795,5.098437,203.237435,4.225474,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,200.62303137779236,True,28,29,29,0,0.0,24.994999999999997,"{""patch"": 1, ""read_file"": 10, ""search_files"": 8, ""terminal"": 9, ""write_file"": 1}",{},30835,976320,0,1007155,4694,2505,1011849,0.9693840570716523,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,6,6,0,0,
fix-git,2026-07-31__02-29-59,fix-git__v5ytDph,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__02-29-59/fix-git__v5ytDph,1,True,True,False,,2026-07-30T18:29:59.903956Z,2026-07-30T18:32:28.057414Z,148.153458,1.285355,5.276095,120.725123,8.844264,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,117.99772381782532,True,12,17,17,4,0.23529411764705882,5.802,"{""read_file"": 1, ""terminal"": 15, ""write_file"": 1}","{""terminal"": 4}",5525,216576,0,222101,3424,1905,225525,0.9751239301038717,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,2,2,0,0,
fix-ocaml-gc,2026-07-31__02-39-17,fix-ocaml-gc__KRpRZNt,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__02-39-17/fix-ocaml-gc__KRpRZNt,1,True,True,False,,2026-07-30T18:39:18.503634Z,2026-07-30T19:55:56.550863Z,4598.047229,1.646954,4.972277,3204.356675,1374.294081,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,3201.5363619327545,True,59,62,62,9,0.14516129032258066,2739.395000000001,"{""patch"": 1, ""process"": 14, ""read_file"": 10, ""search_files"": 1, ""terminal"": 36}","{""read_file"": 1, ""terminal"": 8}",115009,3259776,0,3374785,21413,17678,3396198,0.9659210883063661,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,1,1,0,0,
gcode-to-text,2026-07-31__03-57-56,gcode-to-text__igrmbEY,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__03-57-56/gcode-to-text__igrmbEY,0,True,False,False,,2026-07-30T19:57:57.581707Z,2026-07-30T20:28:38.876971Z,1841.295264,1.544884,5.118871,1813.421198,8.073604,timeout,124,False,,timed_out,True,False,product_exited_before_noop,False,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,1810.2267246246338,True,70,70,69,12,0.17391304347826086,728.4199999999998,"{""browser_console"": 1, ""browser_navigate"": 4, ""browser_vision"": 3, ""execute_code"": 1, ""patch"": 1, ""read_file"": 2, ""terminal"": 36, ""vision_analyze"": 2, ""write_file"": 19}","{""browser_vision"": 3, ""execute_code"": 1, ""terminal"": 6, ""vision_analyze"": 2}",210373,3851840,0,4062213,64473,29762,4126686,0.9482122183154846,unknown,,agent_deadline_zero,Hermes 超过 driver deadline；out.txt 未生成，Verifier 0/2,若 deadline 属实验预算则保留零分；否则提高 deadline 后完整重跑,2,0,2,0,test_outputs.py::test_hello_file_exists; test_outputs.py::test_hello_file_content
git-leak-recovery,2026-07-31__04-35-51,git-leak-recovery__FSFqxjL,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__04-35-51/git-leak-recovery__FSFqxjL,1,True,True,False,,2026-07-30T20:35:52.132379Z,2026-07-30T20:37:47.859427Z,115.727048,1.516136,5.146137,65.56421,31.321924,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,62.986788511276245,True,8,11,11,0,0.0,5.210000000000001,"{""terminal"": 10, ""write_file"": 1}",{},2833,133056,0,135889,1350,125,137239,0.979152102083318,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,5,5,0,0,
git-multibranch,2026-07-31__04-45-22,git-multibranch__annFNdb,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__04-45-22/git-multibranch__annFNdb,,False,False,True,ExceptionGroup,2026-07-30T20:45:22.790702Z,2026-07-30T20:48:46.523318Z,203.732616,1.236488,5.013459,185.357089,,adapter_infra_error,,True,ExceptionGroup,completed,False,False,controller_incomplete,False,False,completed,,182.9884786605835,True,22,23,23,4,0.17391304347826086,74.84000000000002,"{""terminal"": 19, ""write_file"": 4}","{""terminal"": 3, ""write_file"": 1}",6978,403072,0,410050,3779,708,413829,0.9829825631020607,unknown,,cleanup_adapter_no_verifier,Hermes run completed，但 cleanup report 缺失导致 adapter_infra_error；Verifier 未运行,完整重跑以获得可评分结果,,,,,
