task_id,astra_reward,hermes_reward,reward_transition,astra_strict_e2e,hermes_strict_e2e,astra_outcome_category,hermes_outcome_category,astra_product_status,hermes_product_status,astra_e2e_s,hermes_e2e_s,astra_agent_s,hermes_agent_s,astra_fresh_input_tokens,hermes_fresh_input_tokens,astra_cache_tokens,hermes_cache_tokens,astra_input_tokens,hermes_input_tokens,astra_output_tokens,hermes_output_tokens,astra_total_tokens,hermes_total_tokens,astra_rounds,hermes_api_calls,astra_tool_calls,hermes_tool_calls,astra_failed_tools,hermes_failed_tools,astra_verifier,hermes_verifier,hermes_failure_reason,hermes_trial_path,astra_trial_path
constraints-scheduling,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,292.708938,288.10263,203.733068,232.202714,7678.0,8441,38272.0,114048,45950.0,122489,17359.0,12755,63309.0,135244,4.0,6,5.0,8,0.0,1,3/3,3/3,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-41-17/constraints-scheduling__cX4gLS6,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/constraints-scheduling__Bjnh7Qw
count-dataset-tokens,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,705.078365,811.222634,671.424223,783.782245,54990.0,16879,161664.0,578560,216654.0,595439,21560.0,17932,238214.0,613371,15.0,25,16.0,24,1.0,2,1/1,1/1,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-48-04/count-dataset-tokens__hSzRjmb,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/count-dataset-tokens__Au59b93
crack-7z-hash,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,3739.793015,1290.480298,3660.087224,1258.606826,94521.0,8549,399040.0,736832,493561.0,745381,30863.0,1935,524424.0,747316,34.0,38,42.0,37,4.0,7,0/2,2/2,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-08-33/crack-7z-hash__hexw2DN,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/crack-7z-hash__cPniiwq
custom-memory-heap-crash,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,11852.883843,604.616546,6158.056407,545.286684,123593.0,17577,642816.0,656960,766409.0,674537,185183.0,26244,951592.0,700781,37.0,28,65.0,39,0.0,0,6/6,6/6,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-37-12/custom-memory-heap-crash__bzdH3jy,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/custom-memory-heap-crash__S9kKNYf
db-wal-recovery,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,183.000292,1653.117967,101.334185,1598.077244,15882.0,132564,81472.0,3214656,97354.0,3347220,4175.0,64572,101529.0,3411792,9.0,76,8.0,75,0.0,8,7/7,7/7,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-54-42/db-wal-recovery__33DeyG7,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/db-wal-recovery__B7tkkUC
distribution-search,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,1913.369484,745.000423,1862.764892,705.076699,1352.0,3090,8128.0,66176,9480.0,69266,7903.0,60081,17383.0,129347,2.0,4,1.0,3,0.0,0,0/4,4/4,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__22-24-38/distribution-search__vcpnUUq,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/distribution-search__8DZUgkw
extract-elf,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,1034.016429,876.805031,971.477467,825.121877,14577.0,18671,64512.0,333568,79089.0,352239,37071.0,65641,116160.0,417880,7.0,13,11.0,18,0.0,1,0/2,2/2,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__23-48-32/extract-elf__L78scP6,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-elf__GD6CnuF
extract-moves-from-video,0,,0->NA,False,False,budget_and_verifier_infra_failure,deadline_adapter_no_verifier,adapter_infra_error,adapter_infra_error,2976.696326,3631.365187,2859.759778,3612.700341,106351.0,38513,674624.0,949184,780975.0,987697,49962.0,5181,830937.0,992878,50.0,42,58.0,42,5.0,9,无 CTRF,无 CTRF,Hermes run 超过 deadline，随后 cleanup report 缺失，Verifier 未运行,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__00-10-48/extract-moves-from-video__CTkXDwT,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-moves-from-video__Kn9TUHU
feal-differential-cryptanalysis,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,631.93401,385.86114,570.167256,340.470276,22246.0,7856,97024.0,241536,119270.0,249392,58221.0,29487,177491.0,278879,8.0,13,7.0,12,0.0,2,1/1,1/1,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__01-13-23/feal-differential-cryptanalysis__cdkHeUK,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/feal-differential-cryptanalysis__8xoPdgj
filter-js-from-html,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,582.742891,1508.097408,517.67338,808.251504,1201.0,3412,8128.0,120128,9329.0,123540,4897.0,3734,14226.0,127274,2.0,7,1.0,6,0.0,0,0/2,2/2,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__01-42-23/filter-js-from-html__RdhDxsm,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/filter-js-from-html__nxqNena
financial-document-processor,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,989.032803,382.472811,874.963363,348.483172,33250.0,33732,176384.0,408832,209634.0,442564,49506.0,13087,259140.0,455651,15.0,20,15.0,28,2.0,2,7/7,7/7,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__02-15-56/financial-document-processor__xaV7aav,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/financial-document-processor__yEJiPtK
fix-git,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,237.896979,148.153458,192.132007,120.725123,23144.0,5525,137280.0,216576,160424.0,222101,10531.0,3424,170955.0,225525,14.0,12,16.0,17,3.0,4,2/2,2/2,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__02-29-59/fix-git__v5ytDph,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/fix-git__JoNtdgS
fix-ocaml-gc,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,5912.136063,4598.047229,4473.475228,3204.356675,172888.0,115009,936000.0,3259776,1108888.0,3374785,144847.0,21413,1253735.0,3396198,41.0,59,53.0,62,3.0,9,1/1,1/1,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__02-39-17/fix-ocaml-gc__KRpRZNt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/fix-ocaml-gc__Fzh6tqj
gcode-to-text,0,0,0->0,False,False,recoverable_stream_failure,agent_deadline_zero,failed,timeout,1777.052573,1841.295264,1744.486715,1813.421198,136824.0,210373,376320.0,3851840,513144.0,4062213,95855.0,64473,608999.0,4126686,26.0,70,29.0,69,0.0,12,0/2,0/2,Hermes 超过 driver deadline；out.txt 未生成，Verifier 0/2,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__03-57-56/gcode-to-text__igrmbEY,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/gcode-to-text__zfxZT3h
git-leak-recovery,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,252.947278,115.727048,156.401703,65.56421,17722.0,2833,100992.0,133056,118714.0,135889,7370.0,1350,126084.0,137239,11.0,8,10.0,11,0.0,0,5/5,5/5,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__04-35-51/git-leak-recovery__FSFqxjL,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/git-leak-recovery__7XSX3n7
git-multibranch,1,,1->NA,False,False,abnormal_verifier_pass,cleanup_adapter_no_verifier,adapter_infra_error,adapter_infra_error,981.372339,203.732616,893.898939,185.357089,91455.0,6978,784000.0,403072,875455.0,410050,53536.0,3779,928991.0,413829,50.0,22,60.0,23,24.0,4,1/1,无 CTRF,Hermes run completed，但 cleanup report 缺失导致 adapter_infra_error；Verifier 未运行,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__04-45-22/git-multibranch__annFNdb,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/git-multibranch__ErTrJ34
headless-terminal,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,605.788437,458.578022,543.626957,422.084284,10768.0,20954,53056.0,258624,63824.0,279578,31915.0,29920,95739.0,309498,6.0,15,6.0,16,0.0,4,7/7,7/7,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__05-29-30/headless-terminal__w4fJEGp,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/headless-terminal__8ZeyjYG
install-windows-3.11,0,,0->NA,False,False,recoverable_stream_failure,cleanup_adapter_no_verifier,adapter_infra_error,adapter_infra_error,4887.444861,2450.302934,4686.957328,2431.042373,121513.0,68862,879168.0,2853312,1000681.0,2922174,86050.0,19383,1086731.0,2941557,43.0,90,61.0,90,6.0,11,3/4,无 CTRF,Hermes run completed，但 cleanup report 缺失导致 adapter_infra_error；Verifier 未运行,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__05-42-50/install-windows-3.11__mjR9MNB,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/install-windows-3.11__uZvMHsz
llm-inference-batching-scheduler,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,828.994761,1296.323345,783.745109,1269.297422,7715.0,59203,17408.0,1692672,25123.0,1751875,12264.0,46768,37387.0,1798643,3.0,37,4.0,38,0.0,4,1/6,6/6,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__06-44-32/llm-inference-batching-scheduler__fKWoNdN,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/llm-inference-batching-scheduler__rd2oFtp
mailman,0,,0->NA,False,False,recoverable_stream_failure,cleanup_adapter_no_verifier,failed,adapter_infra_error,1208.29114,861.603367,1120.199076,843.090185,44369.0,135264,222400.0,3050880,266769.0,3186144,69391.0,21633,336160.0,3207777,15.0,70,38.0,76,7.0,16,0/3,无 CTRF,Hermes run completed，但 cleanup report 缺失导致 adapter_infra_error；Verifier 未运行,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__07-13-36/mailman__WzGfTVF,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/mailman__k3KGXd5
mcmc-sampling-stan,0,1,0->1,False,True,verifier_timeout,clean_verifier_pass,completed,completed,3492.679455,1486.822616,3082.920948,1183.891352,83385.0,40306,709056.0,909376,792441.0,949682,69395.0,6850,861836.0,956532,32.0,38,47.0,42,1.0,0,5/6,6/6,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__08-18-19/mcmc-sampling-stan__tJaMa3U,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/mcmc-sampling-stan__MUwmpU6
merge-diff-arc-agi-task,1,1,1->1,False,True,abnormal_verifier_pass,clean_verifier_pass,failed,completed,2962.326034,416.270631,2839.610319,366.609275,39819.0,50852,210176.0,447872,249995.0,498724,57883.0,18625,307878.0,517349,20.0,22,23.0,21,3.0,1,5/5,5/5,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__08-50-54/merge-diff-arc-agi-task__vhnhmaK,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/merge-diff-arc-agi-task__HbHftAQ
modernize-scientific-stack,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,88.502885,173.091531,55.457914,140.382752,19116.0,7202,37760.0,251392,56876.0,258594,1625.0,4276,58501.0,262870,5.0,13,7.0,15,0.0,1,2/2,2/2,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__09-32-29/modernize-scientific-stack__BA2S2GU,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/modernize-scientific-stack__R9ShMjc
multi-source-data-merger,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,310.599899,214.520986,236.375048,181.629859,15860.0,25673,89280.0,158592,105140.0,184265,7590.0,8806,112730.0,193071,9.0,10,8.0,11,1.0,3,3/3,3/3,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__09-40-03/multi-source-data-merger__mm3EWMs,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/multi-source-data-merger__M8zXUtT
nginx-request-logging,1,,1->NA,False,False,abnormal_verifier_pass,cleanup_adapter_no_verifier,adapter_infra_error,adapter_infra_error,433.621326,164.885244,400.538084,147.024579,29262.0,5278,162880.0,232064,192142.0,237342,30154.0,2793,222296.0,240135,16.0,13,18.0,18,9.0,2,8/8,无 CTRF,Hermes run completed，但 cleanup report 缺失导致 adapter_infra_error；Verifier 未运行,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__09-45-39/nginx-request-logging__kHJx38i,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/nginx-request-logging__6mYTU3F
openssl-selfsigned-cert,1,0,1->0,True,False,clean_verifier_pass,task_requirement_failure,completed,completed,269.792136,122.695403,236.545705,95.627764,22134.0,20194,115904.0,48832,138038.0,69026,16146.0,4119,154184.0,73145,12.0,4,14.0,4,4.0,0,6/6,5/6,Verifier 5/6；check_cert.py 执行返回非零,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__09-50-26/openssl-selfsigned-cert__sXE9ZoE,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/openssl-selfsigned-cert__TMjFBey
overfull-hbox,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,755.03003,810.198619,589.051236,726.26264,18018.0,39120,39104.0,383552,57122.0,422672,3920.0,53470,61042.0,476142,6.0,18,7.0,20,0.0,3,3/4,4/4,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__10-00-15/overfull-hbox__8TTwMxE,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/overfull-hbox__dd6SowD
password-recovery,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,897.760348,557.276835,805.199274,508.854448,45429.0,65492,249216.0,283520,294645.0,349012,49132.0,14065,343777.0,363077,19.0,13,25.0,20,1.0,2,2/2,2/2,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__10-22-47/password-recovery__7Y4d5e9,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/password-recovery__WQUZtD7
path-tracing,0,,0->NA,False,False,recoverable_stream_failure,deadline_adapter_no_verifier,failed,adapter_infra_error,5146.776169,3633.457707,4151.686988,3613.831106,36838.0,212275,160640.0,2915328,197478.0,3127603,23320.0,230865,220798.0,3358468,16.0,58,15.0,58,0.0,8,0/5,无 CTRF,Hermes run 超过 deadline，随后 cleanup report 缺失，Verifier 未运行,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__10-35-33/path-tracing__99PefA4,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/path-tracing__MeFg9Qn
path-tracing-reverse,0,1,0->1,False,False,recoverable_stream_failure,abnormal_verifier_pass,failed,timeout,1853.480004,3667.153559,1771.49759,3612.882725,59511.0,310569,443008.0,3495424,502519.0,3805993,54637.0,60592,557156.0,3866585,15.0,54,29.0,61,0.0,6,0/3,3/3,Agent 超过 deadline，但中断前产物已通过 Verifier,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__11-44-49/path-tracing-reverse__bqaaCSt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/path-tracing-reverse__4bBbg5Q
polyglot-c-py,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,274.178444,165.971644,136.227199,114.227623,13327.0,1335,25088.0,79680,38415.0,81015,9245.0,6055,47660.0,87070,4.0,5,4.0,6,0.0,0,1/1,1/1,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__12-52-58/polyglot-c-py__TW2ShP7,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/polyglot-c-py__fFfhUi2
portfolio-optimization,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,503.404942,772.491047,360.001758,689.096187,2408.0,13949,16448.0,312320,18856.0,326269,258.0,29107,19114.0,355376,3.0,14,6.0,19,0.0,1,1/4,4/4,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__13-12-48/portfolio-optimization__LWrHTUo,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/portfolio-optimization__wVkTn6y
protein-assembly,0,0,0->0,False,False,recoverable_stream_failure,task_requirement_failure,failed,completed,1028.412535,1219.905414,992.907235,1190.875157,83383.0,70090,223296.0,1802944,306679.0,1873034,43169.0,68804,349848.0,1941838,18.0,40,39.0,44,1.0,6,0/1,0/1,Verifier 0/1；gblock.txt 缺失或不满足融合蛋白要求,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__13-27-47/protein-assembly__mDbiyVc,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/protein-assembly__KBjU6Hg
pypi-server,1,0,1->0,False,False,abnormal_verifier_pass,background_lifecycle_failure,adapter_infra_error,completed,155.293269,338.205383,121.997479,259.93606,19302.0,24649,104064.0,497472,123366.0,522121,5656.0,5084,129022.0,527205,11.0,26,14.0,23,0.0,2,1/1,0/1,Verifier 安装 vectorops==0.1.0 时连接不到本地 PyPI；后台服务未持久化,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__14-05-34/pypi-server__SzFsDEH,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/pypi-server__C4YKuuM
raman-fitting,0,0,0->0,False,False,recoverable_stream_failure,agent_deadline_zero,failed,timeout,1482.524883,1843.06723,1440.510713,1813.399043,40204.0,51492,115520.0,874496,155724.0,925988,56755.0,72249,212479.0,998237,12.0,29,12.0,28,0.0,4,1/3,1/3,Hermes 超过 driver deadline；Verifier 1/3，G 与 2D 峰参数未达容差,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__15-53-54/raman-fitting__NhucZkQ,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/raman-fitting__p6RLcDx
